premise;question;choice1;choice2;label
Predmet je bio upakovan u foliku sa mjehurićima. ;cause;Bio je krhki. ;Bio je mali. ;0
Ispraznio sam džepove. ;effect;Pronašao sam karticu. ;Našao sam oružje. ;0
Termiti su napali kuću. ;effect;Termiti su nestali iz kuće. ;Termiti su prožrali drvo u kući. ;1
Putnici su stigli do granice. ;effect;Patrolni agent je proverio njihove pasoše. ;Patruljni agent ih je optužio za krijumčarenje. ;0
Kancelarija je bila zatvorena. ;cause;Bio je praznik. ;Bilo je ljeto. ;0
Devojci je ponestalo energije. ;cause;Igrala je dame. ;Ona je skočila u konopac. ;1
Žena je izgubila svoje mjesto u redu. ;cause;Više ljudi je ušlo u red. ;Izašla je iz reda. ;1
Devojka je uštempila nos. ;cause;Beba je slinila na njen džep. ;Beba joj je uprljala pelenu. ;1
Bend je svirao svoju hit pesmu. ;effect;Publika je pljeskala uz muziku. ;Publika je u tišini prisluškivala. ;0
Djevojka je htjela da se zahvali svom nastavniku matematike. ;effect;Devojka je ostala posle škole zbog kazne. ;Devojka je donijela učiteljici jabuku. ;1
Mladi kamperi su se uplašili. ;cause;Njihov logorski savetnik im je ispričao priču o duhovima. ;Pecali su slatkiše na vatri. ;0
Čovek je udario glavom. ;effect;-Bio je izgubljen u mislima. ;Dobio je potres mozga. ;1
Ček koji sam napisao je bio odbijen. ;cause;Moj bankovni račun je bio prazan. ;Zasluzio sam povećanje. ;0
Muškarac je email u sandučiću bio pun spama. ;effect;Obrišena je spam. ;Poslao je masovnu e-mail. ;0
Mornar je bio u karantinu. ;cause;Bio je izložen bolesti. ;Oporavio se od bolesti. ;0
Devojka je zapamtila šifru. ;cause;Ona je recitirala sama sebi. ;Zaboravila je da je zapiše. ;0
Ja sam ulivao vodu u čašu. ;effect;Voda je ugasila moju žeđ. ;Čaša je postala puna. ;1
Čovek je šutio kada je njegov prijatelj završio da govori. ;cause;Htio je da ponudi podršku svom prijatelju. ;Razmišljao je o rečima svog prijatelja. ;1
Nesreća je bila moja greška. ;effect;Osećao sam se krivim. ;Ja sam podnio tužbu. ;0
Lanac se raspao. ;cause;Lanac je bio omotan oko gume. ;Bilo je slomljeno u lancu. ;1
Par je odlučio da napravi kompromis. ;cause;Umorili su se od svađe. ;Izbegavali su da razgovaraju o problemu. ;0
Žena je odlučila da se kandiduje za javnu funkciju. ;effect;Unajmila je menadžera kampanje. ;Svjedočila je na sudu. ;0
Čovek je predviđao da će na putovanju biti hladno. ;effect;U kovčeg je stavio toplu odeću. ;Putovao je sa velikim koferom. ;0
Student je znao odgovor na pitanje. ;effect;Podigao je ruku. ;-Onda je napravio glupost. ;0
Oči su mu se isplačile. ;cause;Prah mu je ušao u oči. ;Stavio je zaštitne naočare na oči. ;0
Igrač je osvojio pet utakmica za redom. ;effect;Njen protivnik ju je optužio za varanje. ;Njen protivnik je bio saosećan sa njom. ;0
Učitelj je rastrgao ispit učenika. ;cause;Uhvatio je studenta kako vara. ;Odgovori studenta su bili pogrešni. ;0
Pauza da prestanem da pričam. ;cause;Izgubio sam glas. ;Ostao sam bez daha. ;1
Zamrznuta hrana se otopila. ;cause;Stavio sam ga u mikrovalnu. ;Pokriven je plastičnom folijom. ;0
Zaposlenica se pretvarala da je bolesna. ;cause;Imao je grčeve u stomaku. ;Hteo je slobodan dan. ;1
Devojka je pala u bazen. ;cause;Trčala je po palubi za bazen. ;Skočila je sa litice za ronjenje. ;1
Karte za film su rasprodate. ;cause;Bio je dan premijere filma. ;Film je dobio loše kritike. ;0
Čovek je izgubio na težini. ;effect;Ljudi su ga izolirali. ;Ljudi su mu komplimentirali. ;1
Ruke devojke su se napunile mjehurićima. ;cause;Napisala je pismo. ;Popela se po konopcu. ;1
Cirkusanka je žonglirala dok je vozila jednocikl. ;effect;Publika je uzbuđena navijala. ;Akrobat se zamahnuo sa trapeza. ;0
Izgubio sam strpljenje. ;cause;Prijatelj me je čekao. ;Moj prijatelj je stigao na vreme. ;0
Ratne zemlje su željele mir. ;effect;Oni su razvili nuklearno oružje. ;Pregovarali su o sporazumu. ;1
Čovek je uzeo tablete za spavanje. ;effect;Postao je pospan. ;Imao je groznicu. ;0
Žena je udarila u kauč. ;effect;-Kaka od kauča se odvojila. ;Povrijedila je koleno. ;1
Dečak je stisnuo balon. ;effect;Balon je puknuo. ;Balon je odletio. ;0
Putnici su se prijavili u hotelsku sobu. ;effect;Raspakovali su svoje kofere. ;Otišli su na aerodrom. ;0
Ja sam ugrizao breskvu. ;effect;Breskvica je modrica. ;Sok je prolio. ;1
Ruke su mi se zalijepile. ;cause;Ja sam jeo krafnu. ;Ja sam imao slatki zubi. ;0
Gurao sam vrata. ;effect;Vrata su se otvorila. ;Vrata zaključana. ;0
Aktivisti su bojkotovali proizvode. ;cause;Proizvodi su testirani za osiguranje kvaliteta. ;Proizvodi su proizvedeni kroz dječiji rad. ;1
Ja sam napravio rupu u zidu. ;effect;Iz rupe je izašao miš. ;Prah je ispuhao iz rupe. ;1
Žena je bila ljubomorna na svoju sestru. ;cause;Njena sestra je bila srećna. ;Njena sestra se razvela. ;0
Prolio sam vino na majicu. ;effect;Stavio sam predpasnik. ;Promenio sam majicu. ;1
Kasa je otvorila blagajnu. ;cause;Kupac je pretražio njegov novčanik. ;Kupac joj je dao novac. ;1
Ulični muzičar je privukao gomilu. ;effect;Ljudi su mu dali sitnicu. ;On je otpustio gomilu. ;0
Mali dječak je plakao svojoj dadilji. ;cause;Nedostaju mu roditelji. ;Bilo je vreme za grickalice. ;0
Pilotov radar je detektovao oluju. ;effect;Pilot je krenuo dalje od oluje. ;Pilot je preleteo kroz oluju. ;0
Drvo je odbacio lišće. ;effect;Listovi su postali obojeni. ;Listovi se skupljaju na zemlji. ;1
