"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where it";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Så eg ve";
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is someone who";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it is not dangerous";
"  
Yes, the premise does entail the hypothesis. The premise states that it is not safe";
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where it";
"  
Yes, the premise does entail the hypothesis. The premise provides a basis for understanding what";
"  
Yes. The premise ""Men liked animals that could always come back"" implies that geese were";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that the doors were";
"  
Yes, the premise entails the hypothesis. The premise states that the doors were locked when";
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker had to";
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker had to";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The absence of a specific store implies that there";
"  
Yes, the premise does entail the hypothesis. The absence of a specific story implies that there";
"  
Yes, the premise does entail the hypothesis. The premise states that there was nothing wrong";
"  
Yes, the premise does entail the hypothesis. The premise states that there was nothing wrong";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that it is easy to see";
"  
Yes, the premise entails the hypothesis. The fact that it is easy to see something implies";
"  
Yes, the premise entails the hypothesis. The premise states that ""I don't";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg ve";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Dei sa";Me betaler for ein plass til deg
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Men like vel, menn kjem inn"" implies that if something";
"  
Yes. The premise ""Men like vel, menn kjem inn"" implies that there is";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there was not enough time";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that one of your jobs was";
"  
Yes, the premise entails the hypothesis because if you train people to pull a lever that will";
"  
Yes, the premise entails the hypothesis because if mormor never talks about her child";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that it was not";
"  
No, the premise does not entail the hypothesis. The premise states that it was not";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The statement ""Dei hadde gått";
"  
Yes, the premise entails the hypothesis. The sentence ""Dei hadde gått";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that you went out with your lugg";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there was a wonderful change";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the premise is true that they are looking";
"  
Yes, the premise entails the hypothesis because they are similar in meaning and convey a related idea";
"  
Yes, the premise entails the hypothesis. The premise states that it was the first time";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is something that";
"  
Yes, the premise entails the hypothesis because if there is nothing that can be done, then";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you went home and";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise ""Vi";
"  
Yes, the premise entails the hypothesis. The first sentence in the premise ""Vi";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you should play with";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there are many stories in the naked city";
"  
Yes, the premise does entail the hypothesis. The premise states that there are many stories";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The word ""kvar"" in Norwegian means """;
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Ingen";
"  
Yes, the premise entails the hypothesis because if people knew that they had done something forbidden";
"  
Yes, the premise does entail the hypothesis because if people knew that they were not white,";
"  
Yes";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that ""We saw";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Vi saw";
"  
No, the premise does not entail the hypothesis. The premise states that you have spoken";
"  
Yes, the premise entails the hypothesis. The premise states that you will speak with Ram";
"  
No, the premise does not entail the hypothesis. The premise states that there was only";
"  
No, the premise does not entail the hypothesis. The premise states that there was only";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you have an eye blink that makes you";
"  
Yes, the premise does entail the hypothesis. The premise states that ""La meg få";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it provides a reason why the woman might have had";
"  
Yes, the premise entails the hypothesis. The premise states that the woman was dark and";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The transport department must buy up property to expand its";
"  
Yes, the premise entails the hypothesis. The premise states that the Department of Transportation";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that he wanted to be";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Eg";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Eg";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if you cannot see it (premise";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that eg tried to write";
"  
Yes, the premise does entail the hypothesis. The premise states that eg tried to write";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it was ""ver";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is one thing";
"  
Yes, the premise does entail the hypothesis. The premise states that there is something that";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Eg";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Eg";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that the man was handsome also implies";
"  
Yes, the premise entails the hypothesis. The fact that the man is handsome also implies";
"  
Yes. The premise states that people who grow up to be wrong will change their behavior, which";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Onkelen min";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""the one and only";
"  
Yes, the premise does entail the hypothesis. The premise states that ""the one and";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ho had";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you cannot breathe, you will not";
"  
Yes, the premise entails the hypothesis. The premise states that you cannot survive without";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if men were the only ones who could set up";
"  
Yes, the premise entails the hypothesis. The premise states that men were the only ones";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Me gjekk";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg bru";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that the";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Og så";
"  
Yes, the premise does entail the hypothesis. The premise states that they were living in";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Og fargepunktar kan skifte"" implies that the";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that men were also light-";
"  
Yes, the premise entails the hypothesis. The premise states that men were also light-";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the teacher had a very";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Eg";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Eg";
"  
No, the premise does not entail the hypothesis. The premise states that they move to";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Og dei";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker did not";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that ""syster"" is in";
"  
Yes, the premise entails the hypothesis. The sentence ""Eg sa at det var s";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that he is old enough to";
"  
Yes, the premise entails the hypothesis. The premise states that he is old enough to";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Alt er kn";
"  
Yes, the premise entails the hypothesis because if ""Alt er knytta saman""";
"  
No, the premise does not entail the hypothesis. The premise states that the speaker was";
"  
No, the premise does not entail the hypothesis. The premise states that the speaker was";
"  
Yes, the premise entails the hypothesis. The premise states that doctors are on a";
"  
Yes, the premise does entail the hypothesis. The premise states that the reason why do";
"  
Yes, the premise does entail the hypothesis. The statement ""Det er fint"" (";
"  
Yes, the premise entails the hypothesis. The premise ""Det er fint"" (";
"  
Yes, the premise does entail the hypothesis. The premise ""for kva mennes";
"  
Yes. The premise ""for kva menneskeliv er verdt"" implies that life";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you can do aer";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides a basis for the hypothesis";
"  
Yes, the premise entails the hypothesis. The premise states that in two days, they";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that pistol control requires";
"  
Yes, the premise does entail the hypothesis because if you want to control a pistol with";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Han will get a small";
"  
Yes, the premise entails the hypothesis. The distance from the house to where the car was";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The word ""halde"" in the premise";
"  
Yes";
"  
Yes";
"  The premise and hypothesis are related but not identical. The premise """;
