question;answer_number
"Οι πάπιες της Τζάνετ γεννούν 16 αυγά την ημέρα. Τρώει τρία για πρωινό κάθε πρωί και ψήνει μάφιν για τους φίλους της κάθε μέρα με τέσσερα. Πουλάει το υπόλοιπο στην αγορά των αγροτών καθημερινά για 2 δολάρια το φρέσκο αυγό πάπιας. Πόσα σε δολάρια βγάζει κάθε μέρα στην αγορά των αγροτών; ";18
"Μια ρόμπα χρειάζεται 2 μπουλόνια μπλε ίνες και το μισό λευκή ίνα. Πόσα μπουλόνια χρειάζεται; ";3
"Ο Τζος αποφασίζει να δοκιμάσει να γυρίσει ένα σπίτι. Αγοράζει ένα σπίτι για 80.000 δολάρια και μετά βάζει 50.000 δολάρια για επισκευές. Αυτό αύξησε την αξία του σπιτιού κατά 150%. Πόσα κέρδη έκανε; ";70000
"Ο Τζέιμς αποφασίζει να τρέχει 3 σπριντ 3 φορές την εβδομάδα. Τρέχει 60 μέτρα κάθε σπριντ. Πόσα μέτρα τρέχει συνολικά την εβδομάδα; ";540
"Κάθε μέρα, η Γουέντι ταΐζει κάθε κοτόπουλο της με τρία φλιτζάνια μεικτής τροφής κοτόπουλου, που περιέχει σπόρους, σκουλήκια και λαχανικά για να τα κρατήσει υγιή. Δίνει στα κοτόπουλα τα τρόφιμά τους σε τρία ξεχωριστά γεύματα. Το πρωί, δίνει στο κοπάδι της 15 φλιτζάνια τροφή. Το απόγευμα, δίνει στα κοτόπουλά της άλλα 25 φλιτζάνια τροφής. Πόσα φλιτζάνια τροφής χρειάζεται να δώσει στις κότες της στο τελευταίο γεύμα της ημέρας αν το μέγεθος του κοπαδιού της Γουέντι είναι 20 κοτόπουλα; ";20
"Ο Κάιλαρ πήγε στο μαγαζί να αγοράσει γυαλιά για το καινούργιο του διαμέρισμα. Ένα ποτήρι κοστίζει 5 δολάρια, αλλά κάθε δεύτερο ποτήρι κοστίζει μόνο το 60% της τιμής. Ο Κάιλαρ θέλει να αγοράσει 16 ποτήρια. Πόσα χρειάζεται να πληρώσει γι' αυτά; ";64
"Η Τουλούζ έχει διπλάσια πρόβατα από το Τσάρλεστον. Το Τσάρλεστον έχει 4 φορές περισσότερα πρόβατα από το Σιάτλ. Πόσα πρόβατα έχουν οι Toulouse, Charleston και Seattle μαζί αν το Seattle έχει 20 πρόβατα; ";260
"Η Κάρλα κατεβάζει ένα αρχείο 200 GB. Κανονικά μπορεί να κατεβάσει 2 GB/λεπτό, αλλά το 40% του δρόμου μέσω του download, τα Windows αναγκάζουν μια επανεκκίνηση για να εγκαταστήσουν ενημερώσεις, η οποία διαρκεί 20 λεπτά. Τότε η Κάρλα πρέπει να ξεκινήσει το download από την αρχή. Πόσο φορτίο χρειάζεται για να κατεβάσετε το αρχείο; ";160
"Ο Τζον οδηγεί για 3 ώρες με ταχύτητα 60 μίλια την ώρα και μετά γυρίζει πίσω επειδή συνειδητοποιεί ότι ξέχασε κάτι πολύ σημαντικό στο σπίτι. Προσπαθεί να φτάσει σπίτι σε 4 ώρες αλλά περνάει τις πρώτες 2 ώρες σε κίνηση. Ξοδεύει την επόμενη μισή ώρα οδηγώντας με ταχύτητα 30 μίλια την ώρα, πριν μπορέσει να οδηγήσει το υπόλοιπο χρόνο των 4 ωρών πηγαίνοντας στα 80 μίλια την ώρα. Πόσο μακριά είναι από το σπίτι του στο τέλος αυτών των 4 ωρών; ";45
"Η τιμή της Ελίζας ανά ώρα για τις πρώτες 40 ώρες που δουλεύει κάθε εβδομάδα είναι 10 δολάρια. Επίσης, λαμβάνει μισθό υπερωριών 1,2 φορές μεγαλύτερο από το κανονικό ωρομίσθιο. Αν η Ελάιζα δούλεψε 45 ώρες αυτή την εβδομάδα, πόσα κέρδισε αυτή την εβδομάδα; ";460
