premise;question;choice1;choice2;label
វត្ថុនេះត្រូវបានដាក់ក្នុងក្រណាត់ប៊្លូធូស។ ;cause;វាមានភាពរលូន។ ;វាតូចណាស់ ;0
ខ្ញុំបោកបក់ទូរស័ព្ទ ;effect;ខ្ញុំបានរកឃើញសំបកសំបកសំបកសំបក។ ;ខ្ញុំបានរកឃើញអាវុធមួយ។ ;0
កណ្តុរ បាន ចូល ទៅ ក្នុង ផ្ទះ។ ;effect;កណ្តុរ បាន បាត់ ពី ផ្ទះ។ ;កណ្តុរ បាន ស៊ី ឈើ ក្នុង ផ្ទះ។ ;1
ពួកអ្នកធ្វើដំណើរបានមកដល់ព្រំដែន។ ;effect;មន្ត្រី យាម បាន ពិនិត្យ មើល លិខិត ឆ្លង ដែន របស់ ពួក គេ។ ;មន្ត្រី យាម បាន ចោទ ប្រកាន់ ពួក គេ ពី បទ ជួញ ដូរ ខុស ច្បាប់។ ;0
ការិយាល័យបានបិទ។ ;cause;វាជាថ្ងៃឈប់សម្រាក។ ;វាជារដូវក្តៅ។ ;0
ក្មេងស្រីនោះគ្មានកម្លាំងទៀតទេ។ ;cause;នាងលេងដាវ។ ;នាងបានលោតសំពត់ ;1
ស្ត្រីនោះបានបាត់បង់កន្លែងរបស់នាងនៅក្នុងជួរ។ ;cause;មនុស្សជាច្រើនបានចូលមកក្នុងជួរ។ ;នាងបានដើរចេញពីជួរ។ ;1
ក្មេងស្រីនោះបានចងកមាត់ខ្លួន។ ;cause;កូនតូចនោះបានលង់ទឹកលើបាតដៃរបស់នាង ;កូន បាន បំពុល ដោះ របស់ នាង។ ;1
ក្រុម ចម្រៀង បាន លេង បទ ចម្រៀង ដ៏ ល្បី របស់ ពួក គេ។ ;effect;អ្នក ស្តាប់ បាន ចាក់ ដៃ អបអរ ជាមួយ នឹង តន្ត្រី ។ ;ការ សិក្សា ;0
ក្មេងស្រីចង់អរគុណអ្នកគ្រូគណិតវិទ្យារបស់នាង។ ;effect;ក្មេងស្រីនោះបានស្នាក់នៅក្រោយពេលសាលារៀនសម្រាប់ការឃុំខ្លួន។ ;ក្មេងស្រីបាននាំផ្លែប៉ោមមកជូនលោកគ្រូ។ ;1
ពួកអ្នកធ្វើសំរាកក្មេង មានអារម្មណ៍ភ័យខ្លាច។ ;cause;អ្នកដឹកនាំការជំរំរបស់គេ បានប្រាប់ពួកគេពីរឿងព្រេង។ ;ពួកគេបានដុតបំផ្លាញអង្ករលើភ្លើង។ ;0
បុរសនោះបានវាយក្បាលរបស់គាត់។ ;effect;គាត់បានបាត់បង់ក្នុងគំនិត។ ;គាត់មានសម្ពាធសរសៃឈាមខួរក្បាល។ ;1
ការសងសឹកដែលខ្ញុំបានសរសេរនោះ មិនបានទទួល។ ;cause;គណនីធនាគាររបស់ខ្ញុំគ្មានអ្វីទេ ;ខ្ញុំទទួលបានប្រាក់បៀវត្សរ៍។ ;0
ប្រអប់អ៊ីម៉ែលរបស់បុរសនោះ ពោរពេញទៅដោយសារអាសអាភាស។ ;effect;គាត់បានលុបសារអាសអាភាស។ ;គាត់បានផ្ញើសារអេឡិចត្រូនិចជាច្រើន។ ;0
អ្នកនេសាទត្រូវបានដាក់ឲ្យនៅដាច់ដោយឡែកពីគ្នា។ ;cause;គាត់បានឆ្លងជំងឺនេះ ;គាត់បានជាសះស្បើយពីជំងឺ។ ;0
ក្មេងស្រីបានចងចាំនូវកូដ។ ;cause;នាងបាននិយាយវាទៅកាន់ខ្លួនឯង។ ;នាងភ្លេចសរសេរវា។ ;0
ខ្ញុំបង្ហូរទឹកចូលក្នុងកែវ។ ;effect;ទឹកនោះបានបំបាត់កំហឹងរបស់ខ្ញុំ។ ;កែវបានពេញ។ ;1
បុរសនោះនៅស្ងៀមនៅឡើយ នៅពេលដែលមិត្តរបស់គាត់បាននិយាយចប់។ ;cause;គាត់ចង់ផ្តល់ការគាំទ្រដល់មិត្តរបស់គាត់។ ;គាត់បានគិតអំពីពាក្យរបស់មិត្តរបស់គាត់។ ;1
គ្រោះថ្នាក់នេះជាកំហុសរបស់ខ្ញុំ ;effect;ខ្ញុំមានអារម្មណ៍ថាមានកំហុស។ ;ខ្ញុំបានដាក់ពាក្យបណ្តឹង។ ;0
ខ្សែសង្វាក់ បាន បែក ចេញពី គ្នា ។ ;cause;ខ្សែសង្វាក់ ត្រូវបាន បិទ ជុំវិញ កង់។ ;មានចន្លោះបាក់បែកមួយនៅក្នុងខ្សែសង្វាក់។ ;1
ការ សម្រប សម្រួល ;cause;ពួកគេបានធុញទ្រាន់នឹងការជជែកគ្នា។ ;ពួកគេ ជៀសវាង ការពិភាក្សា អំពី បញ្ហា នេះ។ ;0
ស្ត្រីនោះបានសម្រេចចិត្តប្រជែងយកតំណែងរដ្ឋ។ ;effect;នាងបានជួលអ្នកគ្រប់គ្រងយុទ្ធនាការ។ ;នាងបានធ្វើសក្ខីកម្មនៅតុលាការ។ ;0
បុរសនោះបានរំពឹងថា នឹងមានអាកាសធាតុត្រជាក់ នៅក្នុងដំណើររបស់គាត់។ ;effect;គាត់បានយកសម្លៀកបំពាក់ក្ដៅមកដាក់ក្នុងកាបូប។ ;គាត់បានធ្វើដំណើរជាមួយកាបូបធំមួយ។ ;0
សិស្សបានដឹងចម្លើយទៅលើសំណួរ។ ;effect;គាត់លើកដៃឡើង។ ;គាត់បានធ្វើអាក្រក់។ ;0
ភ្នែក របស់ បុរស នោះ ស្រក់ ទឹក ភ្នែក ;cause;មានធូលីចូលក្នុងភ្នែកគាត់។ ;គាត់បានដាក់កញ្ចក់ការពារភ្នែក។ ;0
អ្នកលេងបានឈ្នះ ៥ ប្រកួតជាប់ៗ ;effect;អ្នកប្រឆាំងនាងបានចោទប្រកាន់នាងថា ឆបោក។ ;អ្នកប្រឆាំងរបស់នាងបានអាណិតនាង។ ;0
គ្រូ បាន កាច់ សោរ សញ្ញាបត្រ របស់ សិស្ស ។ ;cause;គាត់បានចាប់សិស្សដែលលួចលាក់។ ;ចម្លើយរបស់សិស្សនោះខុស។ ;0
ខ្ញុំ ឈប់ និយាយ បន្តិច ។ ;cause;ខ្ញុំបាត់សំឡេង ;ខ្ញុំដកដង្ហើមចេញ។ ;1
អាហារ ដែល មាន កម្រិត ទឹកកក បាន រលាយ។ ;cause;ខ្ញុំដាក់វាក្នុងមីក្រូអ៊ែវ ;ខ្ញុំបានបិទវាដោយក្រណាត់ប្លាស្ទិក។ ;0
បុគ្គលិកនោះបានធ្វើជាឈឺ។ ;cause;គាត់មានជំងឺក្រពះ។ ;គាត់ចង់បានថ្ងៃឈប់សម្រាក។ ;1
ក្មេងស្រីនោះបានធ្លាក់ចូលក្នុងអាងទឹក។ ;cause;នាងបានរត់នៅលើបង្គោលស្រះ។ ;នាងបានលោតចេញពីដងប៉ោង។ ;1
សំបុត្រទស្សនារូបភាពបានលក់អស់ហើយ ;cause;វាជាថ្ងៃបើកសម្ពោធរឿង។ ;ភាពយន្តនេះទទួលបានការពិនិត្យមើលមិនល្អ។ ;0
បុរសនោះបានធ្លាក់ចុះទម្ងន់។ ;effect;មនុស្សបានបំបែកគាត់។ ;មនុស្សម្នាបានសរសើរគាត់។ ;1
ដៃរបស់ក្មេងស្រីបានក្លាយជាកន្ទួល។ ;cause;នាងបានសរសេរសំបុត្រមួយ។ ;នាងបានឡើងសំពត់។ ;1
អ្នកប្រដាល់សើចរណបបានធ្វើចលនា ខណៈពេលជិះកង់មួយ។ ;effect;អ្នកទស្សនា សរសើរ សរសើរ ;អ្នកប្រដាល់សេះបង្កង់បានបត់ពីលើសង្វៀន។ ;0
ខ្ញុំបាត់បង់ការអត់ធ្មត់របស់ខ្ញុំ។ ;cause;មិត្តភក្តិ របស់ខ្ញុំ បាន ធ្វើ ឲ្យ ខ្ញុំ រង់ចាំ ។ ;មិត្តភក្តិ របស់ខ្ញុំ បានមកដល់ ក្នុងពេលកំណត់។ ;0
ការ ប្រយុទ្ធ គ្នា ;effect;ពួកគេបានបង្កើតអាវុធនុយក្លេអ៊ែរ។ ;ពួកគេបានចរចាអំពីសន្ធិសញ្ញាមួយ។ ;1
បុរសនោះបានទទួលថ្នាំញៀនសម្រាប់គេង។ ;effect;គាត់បានងងុយដេក។ ;គាត់មានកម្តៅ។ ;0
ស្ត្រីនោះបានបុកនឹងដុង។ ;effect;ជើងរបស់សូហ្វាបានធ្លាក់ចុះ។ ;នាងបានបាក់ជង្គង់។ ;1
ក្មេងប្រុសបានទាញបាល់នោះ។ ;effect;បាល់បានបែក។ ;បាល់បានហោះចេញទៅ។ ;0
ពួកអ្នកដំណើរបានចុះឈ្មោះចូលក្នុងបន្ទប់សណ្ឋាគាររបស់ពួកគេ។ ;effect;ពួកគេបានដោះសោភ័ណសៀវភៅរបស់គេ។ ;ពួកគេបានទៅព្រលានយន្តហោះ។ ;0
ខ្ញុំបានឆ្កូតចូលក្នុងផ្លែពោធិ៍។ ;effect;ពោតឆៅ មាន ស្នាម របួស ។ ;ទឹកបានបែកចេញ ;1
ដៃខ្ញុំបានក្លាយជាស្លឹកឈើ។ ;cause;ខ្ញុំបានបរិភោគដូណាត់ ;ខ្ញុំមានអាការៈស្រស់ស្អាត ;0
ខ្ញុំបានទាញទ្វារចេញ ;effect;ទ្វារបានបើក។ ;ទ្វារបានបិទ។ ;0
សកម្មជនបានធ្វើបាតុកម្មប្រឆាំងនឹងផលិតផលនេះ។ ;cause;ផលិតផលត្រូវបានសាកល្បងសម្រាប់ការធានាគុណភាព។ ;ផលិតផលត្រូវបានផលិតដោយការប្រើប្រាស់កម្លាំងកុមារ។ ;1
ខ្ញុំបានធ្វើរបងមួយនៅតាមជញ្ជាំង ;effect;មានចង្កេះមួយបានលេចចេញពីចង្កេះ។ ;ធូលីខ្យល់បានហូរចេញពីចំហៀង។ ;1
ស្ត្រីនោះមានអារម្មណ៍ច្រណែននឹងប្អូនស្រីរបស់គាត់។ ;cause;ប្អូនស្រីរបស់នាងសប្បាយចិត្ត។ ;ប្អូនស្រីរបស់នាងបានលែងលះគ្នា។ ;0
ខ្ញុំបង្ហូរស្រា ទៅលើអាវ។ ;effect;ខ្ញុំបានពាក់អាវយឺត ;ខ្ញុំបានប្តូរអាវ។ ;1
អ្នករកប្រាក់បានបើកម៉ាស៊ីនកាត។ ;cause;អតិថិជនបានស្វែងរកកាបូបរបស់គាត់។ ;អតិថិជនបានប្រគល់ប្រាក់ឲ្យនាង។ ;1
តារា ចម្រៀង ផ្លូវ នេះ បាន ទាក់ទាញ មនុស្ស ជា ច្រើន។ ;effect;មនុស្សបានឲ្យគាត់ប្រាក់។ ;គាត់ បាន បញ្ជូន ពួក គេ ទៅ ;0
ក្មេងប្រុសតូចនោះបានយំទៅរកអ្នកថែរក្សាកូនរបស់គាត់។ ;cause;គាត់ខ្វះឪពុកម្តាយរបស់គាត់។ ;វាជាពេលអាហារសាមញ្ញ។ ;0
រ៉ាដា របស់ អ្នកបើកបរ បាន រកឃើញ ព្យុះ ។ ;effect;អ្នកបើកបរបានចាកចេញពីព្យុះ។ ;អ្នកបើកបរបានហោះឆ្លងកាត់ព្យុះ។ ;0
ដើមឈើបានដុះស្លឹក។ ;effect;ស្លឹកឈើបានប្រែជាពណ៌។ ;ស្លឹកឈើបានប្រមូលផ្តុំនៅលើដី។ ;1
ក្មេងប្រុសនោះមានអារម្មណ៍អាក្រក់។ ;effect;គាត់បានសម្រេចចិត្តលេងកាតជាមួយប្អូនស្រីរបស់គាត់។ ;គាត់សម្រេចចិត្តធ្វើរឿងកំប្លែងជាមួយប្អូនស្រីរបស់គាត់។ ;1
កូន បាន ត្អូញត្អែរ ថា គាត់ ត្រូវ ទៅ បន្ទប់ទឹក។ ;effect;ឪពុកគាត់បានឲ្យគាត់ផឹកទឹកកក។ ;ឪពុកគាត់បានឈប់រថយន្តនៅស្ថានីយ៍ប្រេង។ ;1
ក្មេងនោះបានបាញ់អាហារត្រីចូលក្នុងធុង។ ;effect;ត្រី បាន លោត ចេញ ពី អាង ។ ;ត្រី បាន ហែល មក រក អាហារ។ ;1
ការ ផ្លាស់ ប្តូរ ទស្សនៈ នយោបាយ របស់ ស្ត្រី ;effect;នាងបានផ្លាស់ប្តូរសមាជិកភាពរបស់គណបក្ស។ ;នាងបានចូលរួមក្នុងការតវ៉ា។ ;0
អាងទឹកក្នុងបន្ទប់ទឹកបានបិទ។ ;effect;ខ្ញុំបើកទូរទឹក។ ;ខ្ញុំបង្ហូរទឹកបង្ហូរទឹកចូលទៅក្នុងនោះ ;1
អ្នកដំណើរបានចុះពីឡាន។ ;cause;រថភ្លើងបានមកដល់ស្ថានីយ៍។ ;រថភ្លើងបានបន្លឺស្លៀក។ ;0
បុរសនោះបានចុចលើបំពង់បង្ហូរទឹកនៃក្រដាស។ ;effect;គាត់បានដាក់ស្លាកលេខលើផ្ទាំងលិខិត។ ;គាត់បានបិទលិខិតបិទ។ ;1
មិត្តភក្តិបានបាត់ទំនាក់ទំនង។ ;cause;ពួកគេចូលចិត្តការរួមរស់ជាមួយគ្នា ;ពួកគេបានផ្លាស់ទៅទីក្រុងផ្សេងគ្នា។ ;1
អ្នក គណនេយ្យ មិន បាន គ្រប់គ្រង ថវិកា របស់ ក្រុមហ៊ុន បាន ល្អ ទេ។ ;effect;នាងត្រូវបានបណ្តេញចេញពីតំណែងរបស់នាង។ ;នាងបានចេញទៅសម្រាកព្យាបាលកូន។ ;0
ខ្ញុំមើលម៉ោង។ ;cause;ខ្ញុំឮម៉ោងរត់។ ;ខ្ញុំចង់ពិនិត្យមើលម៉ោង។ ;1
ដៃខ្ញុំក្អួតចង្អោរ ;cause;ខ្ញុំសរសេរអត្ថបទដោយដៃ។ ;ខ្ញុំ និង ភរិយា ខ្ញុំ ចាប់ ដៃ គ្នា។ ;0
ប៊ូតុងបានរឹង។ ;cause;ខ្ញុំបានដូរប៊ូតុង។ ;ខ្ញុំបានបត់បែនប៊្រុយ។ ;1
គូស្នេហ៍បានចុះហត្ថលេខាលើកិច្ចសន្យាជួលផ្ទះមួយ។ ;effect;គូស្នេហ៍បានផ្លាស់ទៅផ្ទះ។ ;ទីក្រុងបានកាត់ទោសបន្ទប់ជួល។ ;0
ស្ត្រីនោះអង្គុយនៅខាងក្រៅលើរោង។ ;cause;នាងចង់មើលថ្ងៃលិច ;នាងគិតថាឃើញភ្លើងភ្លៀង។ ;0
បុរសនោះបានពាក់អាវសង្គ្រោះនៅក្នុងទឹក។ ;cause;គាត់មិនចេះហែលទឹកទេ។ ;ទឹកមានកម្រិតទាប។ ;0
ស្ត្រីនោះបានធ្វើកំហុសសរសេរនៅក្នុងកម្មវិធីប្រតិបត្តិការអត្ថបទ។ ;effect;នាងបានលុបឯកសារនោះចេញ។ ;នាងបានវាយប៊ូតុង Backspace ។ ;1
ក្មេងស្រីនោះបានអួតខ្លួនចំពោះមិត្តភក្តិរបស់នាង។ ;cause;នាងទទួលបានលទ្ធផលអាក្រក់។ ;នាងបានឈ្នះការប្រកួតមួយ។ ;1
ដីស្រែមានទឹកកខ្វក់។ ;cause;វាបានធ្លាក់យ៉ាងខ្លាំងក្នុងមួយយប់។ ;វាពោរពេញទៅដោយអំពៅ។ ;0
ស្ត្រីនោះបានដេកស្លាប់។ ;cause;នាងបានស្នាក់នៅយប់មួយនៅសណ្ឋាគារ។ ;នាងភ្លេចកំណត់ម៉ាស៊ីនដាស់តឿន។ ;1
បុរសនោះបានដាក់គ្រឿងការពារកម្តៅថ្ងៃ។ ;cause;គាត់ អង្គុយ នៅ ក្រោម ស្លឹកឈើ។ ;គាត់ទៅឆ្នេរសមុទ្រ។ ;1
អ្នកស្រាវជ្រាវបានបញ្ជាក់ថា ;effect;អ្នកស្រាវជ្រាវបានដកស្រង់ទស្សនៈនេះ។ ;បុគ្គលម្នាក់ៗបានទទួលយកទស្សនៈនេះ ;1
អ្នកគាំទ្រនៅឯការប្រកួតបានបន្លឺ។ ;cause;ការប្រកួតបានចាប់ផ្តើមក្នុងពេលបន្ថែម។ ;អាជ្ញាកណ្តាលបានសម្រេចមិនល្អ ;1
ខ្ញុំបានដាក់កូដ combination របស់ខ្ញុំនៅលើប៊ូតុង។ ;effect;ខ្ញុំបិទបង្អួច។ ;កញ្ចក់បិទបើក។ ;1
ហ្វូងមនុស្សបានកើនឡើងខ្លាំង។ ;effect;ឪពុកបានប្រគល់ប្រាក់មួយចំនួនដល់កូនប្រុសរបស់គាត់។ ;ឪពុកបានចាប់ដៃកូនរបស់គាត់។ ;1
ភ្លៀង បាន បិទ ផ្លូវ ចូល ផ្ទះ។ ;effect;ខ្ញុំបានប្រមូលយកបាតភ្លៀងមកធ្វើជាបាតភ្លៀង។ ;ខ្ញុំបានដកបាតភ្លៀងចេញពីផ្លូវ។ ;1
អ្នកជិះកង់កាយ៉ាក់ ជិះទូក ;effect;កា យ៉ាក់ បាន ឈាន ដល់ ឆ្នេរ ។ ;កាយ៉ាក់ បាន បុក នឹង រលក។ ;0
ក្មេងស្រីនោះបានបាត់បង់ការគ្រប់គ្រងម៉ូតូរបស់នាង។ ;effect;នាងបានដោះដៃពីចង្កូត ;នាងបានបុកនឹងរបង។ ;1
ខ្ញុំបិទខ្យល់ ;effect;ទឹកបាញ់លើស្បែករបស់ខ្ញុំ ;ខ្ញុំមានអារម្មណ៍ថាខ្យល់ត្រជាក់បានឆ្លងកាត់ខ្ញុំ។ ;1
អ្នកលេងសើ្វហ្វ បានវិលត្រឡប់ទៅឆ្នេរវិញ។ ;cause;ពួកគេបានស្រូបទឹក។ ;គេបានឃើញសត្វឆ្កែ។ ;1
ខ្ញុំដកកុងទ័រទឹកក្នុងអាងទឹក។ ;effect;ទឹកបានហូរចេញពីអាងទឹក។ ;ទឹកបានបាក់មកលើដី។ ;0
ប្តីមានអារម្មណ៍ថាមានកំហុសពីការលួចបោកប្រពន្ធ ;effect;គាត់ចោទប្រកាន់នាងថាមានអំពើមិនស្មោះត្រង់។ ;គាត់បានសារភាពថា គាត់មានទំនាក់ទំនងជាមួយនាង។ ;1
សំបក លើ ផ្ទាំង ផ្សព្វផ្សាយ បាន បែក ។ ;cause;ខ្ញុំរង់ចាំអោយពណ៌ស្ងួត។ ;ខ្ញុំបង្ហូរទឹកទៅលើផ្ទាំងស្លាកសញ្ញា។ ;1
ក្មេង នោះ ភ្ញាក់ ឡើង ស្រែក ។ ;cause;គាត់មានក្តីសុបិន្តអាក្រក់។ ;គាត់បានលាងលាងគ្រែ។ ;0
ក្មេងប្រុសនោះបានដាក់ជើងលើតុ។ ;effect;ឪពុករបស់គាត់បានអង្គុយនៅតុ។ ;ឪពុករបស់គាត់បាននិយាយប្រាប់គាត់។ ;1
មិត្តភក្តិ របស់ខ្ញុំ បាន ងាក ទៅ រក ខ្ញុំ ។ ;cause;ខ្ញុំស្រែកហៅឈ្មោះគាត់ ;ខ្ញុំបានលោតដៃ។ ;0
ការ បង្ក្រាប ;effect;ប្រជាពលរដ្ឋបានបះបោរ។ ;ប្រជាពលរដ្ឋបានចុះឈ្មោះបោះឆ្នោត។ ;0
ក្មេងប្រុសនោះបានបាត់ខ្លួននៅក្នុងព្រៃ។ ;effect;គាត់បានដេកនៅជំរំ។ ;គាត់បានស្រែកសុំជំនួយ។ ;1
ស្ត្រីនោះបានធ្វើដំណើរទៅក្រៅប្រទេស។ ;cause;នាងចង់រៀនគូររូប។ ;នាងចង់រៀនអំពីវប្បធម៌ដទៃទៀត។ ;1
បុរសនោះមានភាពច្រណែននឹងមិត្តរួមការងាររបស់គាត់។ ;cause;មិត្តរួមការងាររបស់គាត់បានទទួលការលើកកម្ពស់។ ;អ្នករួមការងាររបស់គាត់បានធ្វើការដល់ម៉ោង។ ;0
បុរសនោះបានឃើញអវកាសយានិក។ ;cause;គាត់មានអាការៈស្លេកស្លាំង។ ;គាត់កំពុងតែធ្វើមេត្រីភាព។ ;0
សក់របស់បុរសនោះបានក្លាយជាសក់ស្វិត។ ;cause;គាត់ដាក់ទឹកកកក្នុងនោះ ;គាត់ដាក់សាប៊ូក្នុងនោះ ;0
អ្នកសិល្បៈបានបង្កើតការងារថ្មី។ ;cause;នាងបានរិះគន់ការងារមុនរបស់នាង។ ;នាងមានអារម្មណ៍ថាមានចលនានូវកម្លាំង។ ;1
[រូបភាព នៅ ទំព័រ ២១] ;cause;គាត់ត្រូវបានបញ្ឈប់ពីយោធា។ ;គាត់នឹងទៅរៀននៅមហាវិទ្យាល័យ។ ;1
