question;answer;answer_ab
"ஒரு நாணயம் தலைக்கு மேல். விட்னி நாணயம் தூக்கி எறிகிறார். எரிக்கா நாணயத்தை எறிவதில்லை. TJ நாணயத்தை எறிவதில்லை. பெனிட்டோ நாணயத்தை எறிகிறார். நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";ஆம் ;A
"ஒரு நாணயம் தலைக்கு மேல். லக்கி நாணயம் புரட்டுவதில்லை. மிர்யா நாணயத்தை எறிந்தாள். JJ நாணயத்தை எறிந்து விடுகிறார். KC நாணயத்தை எறிந்து விடுகிறார். நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";இல்லை ;B
"ஒரு நாணயம் தலைக்கு மேல். கேலப் நாணயத்தை எறிகிறார். Chase நாணயத்தை தூக்கி எறிகிறார். எலெயாசார் நாணயத்தை எறிந்தார். சானல் நாணயத்தை எறிவதில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";இல்லை ;B
"ஒரு நாணயம் தலைக்கு மேல். சில்வியா நாணயத்தை எறிந்து விடுகிறார். கரோலினா நாணயத்தை எறியவில்லை. ஸ்டான் நாணயத்தை எறிந்து விடுகிறார். சக் நாணயத்தை தூக்கி எறிகிறார். நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";இல்லை ;B
"ஒரு நாணயம் தலைக்கு மேல். பிரியானா நாணயத்தை எறிந்து விடுகிறார். ட்ரே நாணயத்தை எறியவில்லை. ஓமர் நாணயத்தை எறிகிறார். பட்ரிஸ் நாணயத்தை எறியவில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";ஆம் ;A
"ஒரு நாணயம் தலைக்கு மேல். லில்லியன் நாணயத்தை எறிந்து விடுகிறார். இயன் நாணயத்தை எறிந்து விடுகிறார். பிரைஸ் நாணயம் தூக்கி எறிகிறார். அரசெலி நாணயத்தை எறிவதில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";இல்லை ;B
"ஒரு நாணயம் தலைக்கு மேல். வால்டர் நாணயத்தை எறிவதில்லை. மைக்கேலா நாணயத்தை எறிவதில்லை. லாரி நாணயத்தை எறியவில்லை. ரியான் நாணயத்தை எறியவில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";ஆம் ;A
"ஒரு நாணயம் தலைக்கு மேல். ஏஞ்சலினா நாணயத்தை எறிந்து விடுகிறார். லேலா நாணயத்தை எறிந்தாள். ஜெனி நாணயத்தை எறிந்து விடுகிறார். ஜெய்ன் நாணயத்தை எறியவில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";இல்லை ;B
"ஒரு நாணயம் தலைக்கு மேல். லிஸி நாணயத்தை எறிந்து விடுகிறார். ஜுவானி நாணயத்தை எறிவதில்லை. ஆயிஷா நாணயத்தை எறிந்து விடுகிறார். பிராண்டா நாணயத்தை எறியவில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";ஆம் ;A
"ஒரு நாணயம் தலைக்கு மேல். எலிஸ் நாணயத்தை எறிந்து விடுகிறார். லுபே நாணயத்தை எறிந்து விடுகிறார். ரெனி நாணயத்தை எறிவதில்லை. நவோமி நாணயத்தை எறிவதில்லை. நாணயம் இன்னும் தலைக்கு மேல் இருக்கிறதா? ""திருப்ப"" என்பது ""திருப்ப"" என்பதைக் குறிக்கிறது என்பதை கவனியுங்கள். ";ஆம் ;A
