question;answer;answer_ab
"Манета - гэта галава ўверх. Вітні пакідае манету. Эрыка не кідае манету. TJ не кідаць манету. Беніта пакідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Лакі не кідае манету. Мірэя кідае манету. Джэй адкідае манету. КК кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";не ;B
"Манета - гэта галава ўверх. Калеб кідае манету. Чэйз пакідае манету. Элеазар кідае манету. Шанель не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";не ;B
"Манета - гэта галава ўверх. Сільвія кідае манету. Каралёна не кідае манету. Стан кідае манету. Чак кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";не ;B
"Манета - гэта галава ўверх. Брыанна кідае манету. Трэя не кідае манету. Амар кідае манету. Патрыс не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Ліліян пакідае манету. Іян кідае манету. Брайс пакідае манету. Араселі не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";не ;B
"Манета - гэта галава ўверх. Уолтэр не кідае манету. Мікаіла не кідае манету. Ларры не кідае манету. Райан не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Анджэліна пакідае манету. Лейла кідае манету. Джэні пакідае манету. Зэйн не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";не ;B
"Манета - гэта галава ўверх. Ліззі кідае манету. Хуан не кідае манету. Аіша кідае манету. Брэнда не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Эліс кідае манету. Люпэ кідае манету. Рэне не кідае манету. Наомі не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Джэсі кідае манету. Родэррык кідае манету. Трэвіс не кідае манету. Рыта не кідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Сінція не кідае манету. Ллойд не кідае манету. Жаклін пакідае манету. Джэйсі пакідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
"Манета - гэта галава ўверх. Стэрлінг пакідае манету. Джэніфер пакідае манету. Пэтсі кідае манету. Дзяніс пакідае манету. Ці маецца манета ўсё яшчэ галавы ўверх? Звярніце ўвагу, што ""павярнуць"" тут азначае ""адваротны"". ";так, так ;A
