question;answer_number
Janetpa patasninqa sapa pʼunchay 16 tʼaqasqata churakunku. Sapa paqarin kimsa mikhunata mikhun, tawa amigosninpajtaj muffinesta horqon. Chayqa, sapa pʼunchay 2 dólaresman, maypichus uj chʼaki chʼaki kachun, chayman chayaspa, chakrapi kaqkunapaj rantikun. ¿Hayk'a qolqetachus payqa sapa p'unchay tarpuchkan? ;18
Chay p'achata p'achachanapaqqa iskay t'aqa azul k'anchata, iskay t'aqa yuraq k'anchata ima necesitanchik. ¿Hayka llapa llapa llapa llapa llapa llapa llapa llapa llapa llapa llapa llapa? ;3
Joshqa, wasipi imachus kasqanta qhawananpaq wakichikun. Payqa 80.000 dólaresman wasita rantin, chaymanta reparasqaman 50.000 dólaresta churarqan. Chaytaj wasita 150% valorninman yapaykorqa. ¿Mayqentaq payman chayarqa? ;70000
Jamesqa semanapi kimsa kutilla 3 ratolla sprintata ruwarqan. Payqa sapa kuti 60 metrosta corre. ¿Hayka metrostachu sapa semana corre? ;540
Wendiqa sapa p'unchaymi sapa uj tawakunaman kimsa copata mikhunata q'uñichin, chaymantaj tarikunku semillas, llant'a ch'uspi, chaymantaj chay mikhunata churakunku, chaymantaj chay mikhunata churakunku, chaymantaj chay mikhunata churakunku. Chay warmiqa, kimsa kutipi tʼantata mikhunankupaq churaykun. Chay warmiqa, paqarin 15 copas mikhunata churaykun. Chaymantataq, 25 tʼantata mikhunankupaq churakun. Wendiqa 20 chʼisiyuq kachkaspa, ¿maykʼaqtaq tʼantata mikhunan tiyan? ;20
Kylarqa, mosoj wasiman uj llusita rantikunanpaj, rantikorqa. Uj copataqa 5 dólaresman churakun, chaywanpis sapa iskay copasqa 60%nintin. Kylarqa 16 copasllata rantiyta munan. ¿Qanmantaj chaykunata pagachinman? ;64
Toulouse llaqtaqa Charleston llaqtaqa iskay kutillamanmi ovejakunata tarikun. Charleston llaqtaqa Seattle llaqtapi kaqmanta 4 kutinmi ovejakuna tiyan. ¿Hayk'a ovejakunan Toulouse, Charleston, Seattle imawan kashanku, Seattlepi 20 ovejakuna kaptin? ;260
Carlaqa 200 GB nisqa pʼitiwan apachikuchkan. Normalmanqa 2 GB/minutapi apachinman, ichaqa 40% apachinamanta, Windowsqa 20 minutapi, musuqmanta qallarinanpaq, musuqmanta instalakunanpaq. Chaymantataq Carlaqa, qallariymantaña chay videota apachinman. ¿Hayk'a tiempotachu chay p'anqata apachinapaq? ;160
Johnqa 3 horasta 60 km/hora velocidadwan carretapi puriytawan, kutirparin, imaraykuchus wasinpi uj ancha allin imasta qonqasqanta repararqa. Chayman chayananpaqqa tawa horastaña pasaq, chaywanpis iskay horastaqa pasaq. Chaymantataq 30 km/hora velocidadwan chayananpaq, chaymantaqa 4 horasta 80 km/hora velocidadwan chayananpaq. ¿Maykʼajllapichus chay tawa horasta juntʼarqa? ;45
Elizaqa sapa semana 40 horasta llankʼan, chayrayku sapa horata 10 dólaresta pagashan. Chantapis, sapa hora llankʼasqanmantaqa, 1,2 kutita astawan pagakun. Elizaqa 45 horasta llank'arqa, ¿mayqentaq pay qonan? ;460
Chay programaqa, qallariy killapi 60 kutipi apachikurqan. Iskay kaq killapiqa, kay Internetpi kaqkunataqa kimsa kutinmi aswan achkaña karan, chaymanta kinsa kaq killapiqa 30% pisiyarqan. ¿Hayk'aqtaq chay programaqa kay kimsa killapi urayk'usqa karqa? ;366
Toulaqa, panaderiaman rispa, tukuy laya pastillaswan mikhuyta rantirqa. Paymi 3 docenas donutsta rantirqan, mayqentachus 68 dólaresman karqa, 2 docenas mini cupcakesta, mayqentachus 80 dólaresman karqa, 6 docenas mini cheesecakesta, mayqentachus 55 dólaresman karqa. ¿Ima qollqetaq chaypaq churasqa karqa? ;694
Carlosqa limon sach'ata tarpun. Chay sachʼata tarpuyqa 90 dólaresmanmi chayanqa. Sapa wata 7 limonata wiñachin, chaytaqa $1.50 dólaresman rantikun. Chay sachʼata yakuwan mikhunanpaqqa, 3 dólaresta pagakun. ¿Hayk'aq watastaq limón sach'amanta qolqeta qonanpaq? ;13
Melanieqa, wasi wasipi vendej warmim. Chaypaqqa, 3 kaq kaq suwakuqnintaqa verde wasipi rantikurqan, 2 kaqnintaq puka wasipi, chunkantaq naranja wasipi. Melanieqa 5 suwakuqninmi kashan, ¿hayk'aqtaq qallariypi karqa? ;18
20 yachaqaqkunawan tusunapaq clasepi, 20% t'ikrasqa kanku contemporáneo nisqa tusunapaq, 25% jazz nisqa tusunapaq, wakintaj hip-hop nisqa tusunapaq. ¿Ima porcentajepichu hip-hop tantata yachakuqkuna? ;60
Juk comercianteqa, iskay imata rantiyta munan: 5.000 dólares valorniyoj joyaswan chayri 8.000 dólares valorniyoj electronicoswan. Qhapaqkunapa consejeroqa, chay killapi, joyaspa mercadoqa 2.5% yapakunqa, electronicospa mercadotaq 1.2% yapakunqa. Sichus chay comercianteqa, may chhika qolqeta kay killa tukukuyninpi, may chhika qolqeta jap'inanpaq, ajllakun chayqa, ¿may chhika qolqeta jap'inman? ;125
San Rafaelmantaqa iskay trenkuna lloqsinku. Chay iskayninqa, 80 kilometrosman inti llojsimuynejman ripunku. Qhepantin pʼunchaytaq, 150 kilometrosta rinanku tiyan. ¿Ima distanciatan chay iskay p'unchaypi pasaq trenqa? ;230
Jillqa 20 dólaresta pagashan sapa hora yachachinanpaq, 30 dólarestaq cheerleading entrenador kananpaq. Sichus 50 semana llank'an, 35 horasta yachachin, 15 horastaq yachachin, ¿hayk'a qollqeyuqtaq kanman? ;57500
Claireqa sapa paqarin 3 ch'aki tortilla ruwan. ¿Hayka chunka t'aqa t'aqa mikhunantaq tawa semanapi? ;7
Marissaqa, 12 millaymanta, kay ñanman ripun. Chayqa, 4 kilometrosta, chaymanta 2 kilometrosta, 1 horapi purirqa. Sichus paypa raphintinta 4 kilómetro por hora jina kananpaq munan chayqa, ¿maykʼajllataq chay ratota (kilómetro por hora jina) purinan tiyan? ;6
10 litro naranja vinota chani, chaymanta iskay terciosninqa yaku, 15 litro piña vinota chani, chaymanta kinsa quintoninqa yaku. Chaywanpas, uj litro orangejesta chʼakiyman churanaypaj. ¿Hayka yakupitaq 24 litro ukhupi kashan? ;15
Raymondwan Samanthaqa primokuna kanku. Raymondqa 6 watas ñaupaqta Samanthawan nacerqa. Raymondqa 23 watasniyoj kashajtin, uj wawata wawarqa. Samanthaqa 31 watayoqña kashaspa, ¿hayk'a watataq Raymondpa churin nacerqa? ;14
Billyqa DVDkunata rantikun. Martes p'unchaypi pusaq clienteswan kashan. Ñawpaq kaq kinsa clientesninqa, sapa uj DVDta rantinku. Qhepamanqa iskay DVDta rantiqkunan. Qhepa kinsa clientesninqa mana DVDta rantikunkuchu. Billyqa ima DVD-kunatachus martespi rantikurqan? ;7
Chay k'anchayqa, sapa hora ruphaykuspa 2 centímetrota q'uñikun. ¿Hayk'a centímetrostachus k'uchukapunqa 1 p'unchaymanta 5 p'unchaykama k'anchariqtin? ;8
Kyleqa, chay librota $19.50 dólaresman rantikorqa. Kayqa 25% pisiyachisqa kaq, ñawpaqmanta. ¿Ima valortaq chay libro karqa? ;26
