  أخترت بين الخيارين A وB;
"  أخر 

The story is about a man who loves playing the role of Bob";
 Lita poured the water while watching;
  أكثر النهايات للقصة هي;
  أي نهاية للقصة هي الخي;
 (Hector) starts buying more;
  أكثر النهايات للقصة هي;
  أكثر الاحتمالاً للنهاية;
  أي نهاية للقصة هي الأك;
  أكثر احتمالاً للخيار B;
 Bob loved the seafood so much;
  أكثر النهايات للقصة هي;
  أكثر احتمالاً للخيار A;
 Bablo loves eating dum;
 She was better off without the money.;
 (Glenn) decided to stop;
  أكثر النهايات للقصة هي;
  أخترت بين الخيارين A و B;
  أكثر الاحتمالاً للنهاية;
 In the end of the year, he;
  أكثر احتمالاً للخيار B;
  أي نهاية للقصة هي الخي;
  أي نهاية للقصة هي الأك;
 Bob was proud of his work and felt;
" ""She received awards for their policies.""";
" We all fell under the car.

";
 She becomes obsessed with the film and;
 He tried to kick the ball but missed;
  أخترت بين الخيارين B.;
 The couple will be happy to learn that;
 Kathrin started training every day and became;
"  
B) قرر (فرانسيس) أنّ";
  أي نهاية للقصة هي الأك;
  أكثر النهاية للقصة هي ال;
  أكثر الاحتمالاً للنهاية;
  ب B;
 (Laurs) fell in love with;
 You managed to fix it with the;
 Then Rayan found the ball;
" ""She laughed and said";I
  أكثر النهايات للقصة هي;
 I let the dog enter the house.;
" ""He decided to go to the ca";
  أكثر الاحتمالاً للنهاية;
" Frank got a new game.

";
 Timmy went to the leadership field on;
 أخبر (دريك) المضيف ;
  أكثر النهايات للقصة هي;
"  
The most likely ending to the story is option A, ""Jak will continue to enjoy the";
  أي نهاية للقصة هي الأك;
   (B) لقد كنت مسرورة ح;
  أي نهاية للقصة هي الخي;
 He felt compelled to return to work;
"  
The most likely ending to the story is option A, ""Bob uses an old trash";
" ""Jo drew a picture of the fan";
 She was able to stop drinking by;
  أكثر الاحتمالاً للنهاية;
" ""كان (روب";
" Jo wanted more crackers.

";
" ""أصدقاء ";
 سام أجاب عل;
  أكثر النهايات للقصة هي;
  أخيراً;
 Becky was proud of Ashley.;
" ""I decided to launch the dog into";
 She loved every one of her teachers.;
  أكثر احتمالاً للنهاية;
  أي نهاية للقصة هي الخي;
" I am not married.

Ex";
  أكثر الاحتمالاً للنهاية;
  أكثر احتمالاً للنهاية;
" ""She ignored her fall and continued walking";
  أكثر النهايات للقصة هي;
 (Jim) sees his;
  أي نهاية للقصة هي الخي;
 Genie went crazy and started cutting;
 Leyla was sad because her beautiful tree;
 (Biter) thinks he will be;
 everyone enjoys the meat and bread.;
  أكثر الاحتمالاً للخيار B;
 The team stopped and sat on their ben;
  أي نهاية للقصة هي الخي;
  أكثر احتمالاً للخيار B;
  أكثر الاحتمالاً للنهاية;
 Julie took all of her savings;
 (Emi) thought the garden was;
" (Sтив) was happy.
";
  أكثر النهايات هي الخيار B;
"  
The most likely ending to the story is option A, where Bob's profits from s";
