question;answer_number
Janets ænder lægger 16 æg om dagen. Hun spiser tre til morgenmad hver morgen og bager muffins til sine venner hver dag med fire. Hun sælger resten på bondemarkedet dagligt for to dollars pr. frisk andæg. Hvor meget tjener hun i dollars hver dag på bondemarkedet? ;18
En kappe kræver to bolte blå fiber og halvdelen af den hvide fiber. Hvor mange bolte skal der til? ;3
Josh beslutter at prøve at vende et hus. Han køber et hus for 80.000 dollars og bruger 50.000 dollars på reparationer. Det øgede husets værdi med 150%. Hvor meget profit fik han? ;70000
James beslutter at løbe 3 sprinter 3 gange om ugen. Han løber 60 meter i hvert sprint. Hvor mange meter løber han i alt om ugen? ;540
Hver dag fodrer Wendi hver af sine høns med tre kopper blandet kyllingefoder, der indeholder frø, melorm og grøntsager for at holde dem sunde. Hun giver hønsene deres foder i tre separate måltider. Om morgenen giver hun sin flok høns 15 kopper foder. Om eftermiddagen giver hun sine høns yderligere 25 kopper foder. Hvor mange kopper foder skal hun give sine høns i det sidste måltid om dagen hvis Wendis flok er på 20 høns? ;20
Kylar gik i butikken for at købe briller til sin nye lejlighed. Et glas koster 5 dollars, men hvert andet glas koster kun 60% af prisen. Kylar vil købe 16 glas. Hvor meget skal han betale for dem? ;64
Toulouse har dobbelt så mange får som Charleston. Charleston har fire gange så mange får som Seattle. Hvor mange får har Toulouse, Charleston og Seattle tilsammen hvis Seattle har 20 får? ;260
Carla downloader en 200 GB fil. Normalt kan hun downloade 2 GB/minut, men 40% af vejen gennem downloadet tvinger Windows en genstart til at installere opdateringer, hvilket tager 20 minutter. Så skal Carla starte downloadet fra begyndelsen. Hvor meget skal der til for at downloade filen? ;160
John kører i tre timer med en hastighed på 100 km/t og vender så om, fordi han indser, at han har glemt noget meget vigtigt derhjemme. Han prøver at komme hjem om fire timer, men tilbringer de første to timer i trafikken. Han bruger den næste halv time på at køre med en hastighed på 30 mph, før han er i stand til at køre den resterende tid af de 4 timer, der går på 80 mph. Hvor langt er han hjemmefra efter de fire timer? ;45
Elisas timeløn for de første 40 timer hver uge er 10 dollars. Hun modtager også en overarbejdebetaling på 1,2 gange sin normale timeløn. Hvis Eliza arbejdede 45 timer i denne uge, hvor meget er hendes indtjening for denne uge? ;460
Et nyt program havde 60 downloads i den første måned. Antallet af downloads i den anden måned var tre gange så mange som i den første måned, men faldt derefter med 30% i den tredje måned. Hvor mange downloads havde programmet i alt i løbet af de tre måneder? ;366
Toula gik til bageriet og købte forskellige typer kager. Hun købte 3 dusin donuts, som kostede $68 pr. dusin, 2 dusin mini cupcakes, som kostede $80 pr. dusin, og 6 dusin mini cheesecakes for $55 pr. dusin. Hvor meget kostede det alt sammen? ;694
Carlos planter et citrontræ. Træet koster 90 dollars at plante. Hvert år vil der vokse syv citroner, som han kan sælge for $1,50 pr. stk. Det koster 3 dollars om året at vand og fodre træet. Hvor mange år vil det tage før han begynder at tjene penge på sitrontræet? ;13
Melanie er dør-til-dør sælger. Hun solgte en tredjedel af støvsugerne til det grønne hus, to til det røde hus og halvdelen af det, der var tilbage i det orange hus. Hvis Melanie har fem støvsugere tilbage, hvor mange var der så i starten? ;18
I en danseklasse med 20 elever var 20% indskrevet i moderne dans, 25% af de resterende indskrevet i jazz dans, og resten indskrevet i hip-hop dans. Hvor mange procent af eleverne var indskrevet i hiphop? ;60
En købmand ønsker at vælge mellem to køb: smykker til en værdi af 5.000 dollars eller elektroniske apparater til en værdi af 8.000 dollars. Hans finansielle rådgiver spekulerer på, at smykkemarkedet vil stige med 2,5%, mens markedet for elektroniske gadgets vil stige med 1,2% inden for samme måned. Hvis købmanden ønsker at maksimere sin fortjeneste ved udgangen af denne måned ved at træffe et valg, hvor meget fortjeneste ville det så være? ;125
To tog forlader San Rafael på samme tid. De begynder at rejse vestpå, begge rejser 130 kilometer. Næste dag rejser de nordpå, og dækker 150 miles. Hvad er afstanden af hvert tog i de to dage? ;230
Jill får 20 dollar i timen for at undervise og 30 dollar for at være cheerleader-træner. Hvis hun arbejder 50 uger om året, 35 timer om ugen som lærer og 15 timer om ugen som træner, hvad er hendes årsløn? ;57500
Claire laver en 3 æg omelet hver morgen til morgenmad. Hvor mange dusinvis af æg vil hun spise på 4 uger? ;7
Marissa er på en vandretur på 12 miles. Det tog hende en time at gå de første fire miles, og så en time at gå de næste to miles. Hvis hun vil have en gennemsnitshastighed på 6 kilometer i timen, hvor hurtigt (i kilometer i timen) skal hun så gå den resterende afstand? ;6
Jeg har 10 liter appelsindrik, der er to tredjedele vand, og jeg vil gerne tilsætte det til 15 liter ananasdrik, der er tre femtedele vand. Men når jeg hælder den ud, hælder jeg en liter af den orange drik ud. Hvor meget vand er der i de resterende 24 liter? ;15
Raymond og Samantha er kusiner. Raymond blev født seks år før Samantha. Raymond fik en søn som 23-årig. Hvis Samantha er 31 nu, hvor mange år siden blev Raymonds søn født? ;14
Billy sælger dvd'er. Han har 8 kunder på tirsdag. Hans første 3 kunder køber hver en DVD. Hans næste to kunder køber to dvd'er hver. Hans sidste 3 kunder køber ikke nogen dvd'er. Hvor mange dvd'er solgte Billy tirsdag? ;7
Et stearinlys smelter med 2 centimeter for hver time det brænder. Hvor mange centimeter bliver et stearinlys kortere efter det brænder fra kl. 13.00 til 17.00? ;8
Kyle købte sidste års bestseller for 19,50 dollar. Det er med 25% rabat på den oprindelige pris. Hvad var bogens oprindelige pris? ;26
Marie bestilte en kyllingemåltid til 12 dollars, 5 pakker mælk til 3 dollars, 4 æbler til 1,50 dollar og nogle kasser pizza. Marie betalte i alt 50 dollars. Hvor mange kasser pizza bestilte Marie, hvis hver kasse koster 8,50 dollars? ;2
Mishka købte 3 par shorts, 3 par bukser og 3 par sko. Et par shorts koster $16.50. Et par bukser koster 22,50 dollars og et par sko koster 42 dollars. Hvor mange dollars brugte Mishka på alt det tøj? ;243
Cynthia spiser en is hver aften. Hun køber iskasser med 15 portioner is i hver kasse til en pris af kr. 1 i kassen. Efter 60 dage, hvor meget vil hun bruge på is? ;16
Henry gjorde to stop på sin cykeltur. Han stoppede først efter 20 miles. Hans andet stop var 15 miles før slutningen af turen. Hvor mange kilometer rejste han mellem sit første og andet stop? ;25
Gloria er på skohandlen, da hun finder et par støvler der passer til hendes skobudget. Men hun må vælge mellem støvlerne og to par høje hæle, der tilsammen koster fem dollars mindre end støvlerne. Hvis et par hæle koster 33 dollars og det andet dobbelt så meget, hvor mange dollars er støvlerne? ;104
Darrell og Allens alder er i forholdet 7:11. Hvis deres samlede alder nu er 162, beregner vi så Alens alder om ti år. ;109
Gunter prøver at tælle de marmeladeboner i en krukke. Han spørger sine venner hvor mange de tror der er i krukken. En siger 80. En anden siger 20 mere end halvdelen af den første. En tredjedel siger 25% mere end den første. Hvad er deres gennemsnitlige gæt? ;80
John tager sig af ti hunde. Hver hund bruger halvanden time om dagen på at gå og tage sig af sine forretninger. Hvor mange timer om ugen bruger han på at passe hunde? ;35
Gretchen har 110 mønter. Der er 30 flere guldmønter end sølvmønter. Hvor mange guldmønter har Gretchen? ;70
Siobhan har to mindre juveler end Aaron. Aaron har fem juveler mere end halvdelen af Raymonds juveler. Hvis Raymond har 40 juveler, hvor mange har Siobhan så? ;23
Mike spiller ping pong i 40 minutter. I de første 20 minutter scorer han 4 point. I de næste 20 minutter scorer han 25% flere point. Hvor mange point fik han i alt? ;9
Terry spiser to yoghurt om dagen. De er for øjeblikket til salg til 4 yoghurt for $5.00. Hvor meget bruger han på yoghurt i 30 dage? ;75
John planlægger at sælge alle sine legetøj og bruge pengene til at købe videospil. Han har 13 lego-sæt, og han sælger dem for 15 dollar stykket. Han ender med at købe 8 videospil for 20 dollar hver og har 5 dollar tilbage. Hvor mange lego-sæt har han stadig? ;2
John løber 100 km om ugen. Han løber 3 dage om ugen. Han løber 3 timer den første dag og halvt så meget de to andre dage. Hvor hurtigt løber han? ;10
Dana kan løbe fire gange hurtigere end hun kan gå, men hun kan hoppe med halvdelen af sin løbshastighed. Hvis hun kan springe med 3 miles i timen, hvor mange miles kan hun rejse i seks timer hvis hun bruger en tredjedel af tiden løber og to tredjedele af tiden gå? ;18
Brandons iPhone er fire gange så gammel som Bens. Bens iPhone er dobbelt så gammel som Suzy's. Hvis Suzy's iPhone er 1 år gammel, hvor gammel er så Brandon's iPhone? ;8
Den store drage, Perg, sad højt på toppen af bjerget Farbo, og blæste ild på alt inden for 300 meters afstand. Polly kunne kaste guldspydet, det eneste kendte våben, der kunne slede dragen, i en afstand på 400 fod, godt inden for rækkevidde af dragens flammer. Men når Polly holdt safirstenen, kunne hun kaste spydet tre gange længere end når hun ikke holdt på den. Hvis Polly holdt ædelstenen, hvor langt uden for dragens flammer kunne hun så stå og stadig ramme dragen med guldspydet? ;200
Bedste Jones bagte fem æblepaj til brandmandens frokost. Hun skar hver tærte i 8 stykker og lagde de fem tærter ud på buffetbordet, så gæsterne kunne servere dem selv. Ved aftenens afslutning, efter at gæsterne havde taget og spist deres tærtebiter, var der 14 tærtebiter tilbage. Hvor mange stykker tog gæsterne? ;26
Ifølge informationen om næringsværdien, har en pose chips 250 kalorier pr. portion. Hvis en 300 g pose har 5 portioner, hvor mange gram kan du så spise, hvis dit daglige kaloriemål er 2000 og du allerede har indtaget 1800 kalorier? ;48
Charlie vil sælge bivax stearinlys. For hvert kilo bivax kan han lave 10 koniske stearinlys. Et kilo bivax og væggene koster 10 dollars. Hvis han sælger hvert stearinlys for to dollars, hvad er så hans nettofortjeneste hvis han laver og sælger 20 stearinlys? ;20
Meredith er en freelance blogger, der skriver om sundhedstemaer og sender til klienter hver dag som sit faste job. En blogartikel tager i gennemsnit 4 timer at undersøge og skrive om. Sidste uge skrev hun 5 artikler mandag og 2/5 gange flere artikler tirsdag end mandag. Onsdag skrev hun dobbelt så mange artikler som tirsdag. Beregn det samlede antal timer hun brugte på at skrive artikler i løbet af de tre dage. ;104
"Candice lagde 80 post-it-sedler i sin taske, før hun gik ud på sit arbejde i kaffebar. På vej gik hun forbi butikken og købte en pakke Post-it-sedler; på arbejdet lagde hun en enkelt Post-it-sedel på hver af 220 forskellige kopper kaffe. Hvis hun havde 23 Post-it-sedler tilbage i alt, hvor mange Post-it-sedler var der i pakken, hun købte? ";163
John køber dobbelt så mange røde slips som blå slips. De røde slips koster 50% mere end de blå slips. Han brugte 200 dollars på blå slips, der kostede 40 dollars hver. Hvor meget brugte han på slips? ;800
Tracy brugte et stykke tråd på en meter til at støtte tomatplanterne i haven. Tråden blev skåret i stykker, der var 15 cm lange. Hvor mange stykker fik hun? ;8
Richard bor i en lejlighed med 15 etager. Hver etage indeholder 8 enheder, og 3/4 af bygningen er besat. Hvor mange ledige lejligheder er der i bygningen? ;30
Lloyd har en ægfarm. Hans høns producerer 252 æg om dagen og han sælger dem for 2 dollar pr. dusin. Hvor meget tjener Lloyd på æg om ugen? ;294
Toms skib kan sejle med 10 miles i timen. Han sejler fra kl. 13.00 til 16.00. Han rejser derefter tilbage med en hastighed på 6 mph. Hvor lang tid tager det ham at komme tilbage? ;5
Uriahs bogpose bliver for tung for ham. Han skal fjerne fem kilo fra den. Hans tegneserier vejer et halvt kilo hver og hans legetøj vejer et halvt kilo hver. Hvis han fjerner 30 tegneserier, hvor mange legetøj skal han så fjerne? ;15
En mekaniker tager forskellige priser for at reparere lastbilers og bilers dæk. For hvert lastbilstyre der bliver repareret, vil mekanikeren opkræve 60 dollars, og for hvert bilstyre der bliver repareret, vil mekanikeren opkræve 40 dollars. Torsdag reparerer mekanikeren seks lastbiler og fire bildæk. På fredag reparerer mekanikeren 12 bilforsøg, men reparerer ikke lastbilens dæk. Hvor meget mere indtægt tjente mekanikeren på den dag med højere indtægt? ;40
Doubtfire-søstrene kører hjem med 7 killinger, der er adopteret fra det lokale dyrehjem, da deres mor ringer for at informere dem om, at deres to huskatte lige har fået killinger. Hun siger at Patchy, den første kat, har haft tre gange så mange adopterede killinger, mens Trixie, den anden kat, har haft 12. Hvor mange killinger har Doubtfire-familien nu? ;40
Jean har 30 slikker. Jean spiser to af slikken. Med de resterende slikker vil Jean pakke to slikker i én pose. Hvor mange poser kan Jean fylde? ;14
Peter planlægger at gå i biografen i denne uge. Han får altid en billet for $7 og popcorn for $7. Hvis han har 42 dollars om ugen, hvor mange gange kan han så gå i biografen? ;3
En træbro kan ikke bære mere end 5000 pund. En lastbil med identiske kasser, hver af dem på fem kilo, vil køre over broen. Den samlede vægt af chaufføren og den tomme lastbil er 3755 pund. Hvad er det maksimale antal kasser, der kan lastes på lastbilen uden at overskride broens vægtgrænse? ;83
Stephen bestilte mad på nettet. Hans sidste regning var på $40.00. Fordi han havde leveret det gennem en leverandør, tilføjede de 25% til det endelige beløb og opkrævede ham 3 dollars i leveringskostnader. Stephen tilføjede også et drikkepenge på $4. Efter de ekstra gebyrer, hvad var den endelige pris for Stephens dagligvarer? ;57
En hindbærbusk har 6 klynger med 20 frugter hver og 67 individuelle frugter spredt over busken. Hvor mange hindbær er der i alt? ;187
En kurv indeholder 25 appelsiner, hvoraf 1 er dårlig, 20% er umodne, 2 er sure og resten er gode. Hvor mange appelsiner er gode? ;17
Janet køber en broche til sin datter. Hun betaler 500 dollars for materialet til at fremstille den, og så yderligere 800 dollars til juveleren for at bygge den. Derefter betaler hun 10% af det for at få det forsikret. Hvor meget betalte hun? ;1430
Hvis Marcy arbejder i 40 år for samme firma, får hun en årlig pension på 50.000 dollars. Efter 20 år har hun ret til 5% af pensionsværdien pr. år. Hvis hun stopper efter 30 år, hvad bliver hendes årlige pension? ;25000
Aleena har et abonnement på en streaming-tjeneste, der koster hende 140 dollars om måneden. Hvis streaming-selskabet opkrævede det oprindelige beløb for første halvdel af året og derefter opkrævede 10% mindre penge for den anden halvdel af året, beregn det samlede beløb, hun havde betalt for streaming-tjenesten ved årets udgang. ;1596
Sophia overvejer at tage på en biltur, og hun vil gerne vide hvor langt hun kan køre på en enkelt tank benzin. Hun har rejst 160 kilometer siden sidste gang hun fyldte tanken, og hun måtte fylde fire liter benzin i for at fylde den op igen. I brugervejledningen står der, at hendes tank rummer 40 liter benzin. Hvor mange kilometer kan Sophia køre på en enkelt tank benzin? ;300
Jim bruger to timer på at se tv og så beslutter han at gå i seng og læse i halvdelen af den tid. Han gør det tre gange om ugen. Hvor mange timer bruger han på at se fjernsyn og læse på 4 uger? ;36
Der er fire skoler, der konkurrerer om en basketball turnering. Hver skole har sendt et baskethold for piger og et baskethold for drenge, og hvert hold har 5 spillere. Hver skole har også sendt en træner til hvert hold. I alt, hvor mange mennesker har alle skolerne sendt? ;48
En skattejæger fandt en begravet skatkiste fyldt med ædelstene. Der var 175 diamanter, 35 rubiner færre end diamanter, og dobbelt så mange smaragder som rubiner. Hvor mange af de ædelstene var der i kisten? ;595
Der er dobbelt så mange drenge som piger på dr. Wertz' skole. Hvis der er 60 piger og 5 elever til hver lærer, hvor mange lærere er der så? ;36
Bailey starter med en vis sum penge. Så får hun en ugentlig godtgørelse på $5 i 8 uger. Hvis hun har 100 dollars, hvor mange penge havde Bailey? ;60
Judy underviser i 5 danseklasser hver dag i hverdagen og 8 klasser om lørdagen. Hvis hver klasse har 15 elever og hun tager $15.00 pr. elev, hvor mange penge tjener hun så på 1 uge? ;7425
Kelian har to opskrifter til madlavning, den ene med 20 instruktioner og den anden med dobbelt så mange instruktioner som den første. Hvor mange instruktioner skal Kelian læse for at tilberede de to retter? ;60
Tommy samler penge til velgørenhed ved at sælge brownies for tre dollar og cheesecakes for fire dollar. Hvis Tommy sælger 43 brownies og 23 skiver cheesecake, hvor mange penge samler Tommy? ;221
Shiela købte fem mobiltelefoner for 150 dollar hver, for en tre måneders afdrag. Der opkræves 2% rente for hver enhed. Hvor meget vil Shiela betale hver måned i 3 måneder? ;255
Artie har en blomsterboks på Farmers Market. Han sælger tre slags blomster: guldgulve, petunier og begonier. Han sælger normalt gulerødder for 2,74 dollar pr. pot, petunier for 1,87 dollar pr. pot og begonier for 2,12 dollar pr. pot. Artie har ingen penge i dag, så han har besluttet at afrunde alle sine priser til nærmeste dollar. Hvis Artie sælger 12 potter af guldgulve, 9 potter af petunier og 17 potter af begonier, hvor meget vil han så tjene? ;88
