question;answer;answer_ab
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. Whitney ຖິ້ມເງິນ ເອຣິກາ ບໍ່ຖີ້ມເງິນ TJ ບໍ່ຖີ້ມເງິນຫຼຽນ. Benito ໄດ້ຖິ້ມເງິນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ແມ່ນແລ້ວ ;A
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. ໂຊກດີບໍ່ຖີ້ມເງິນ Mireya ຖິ້ມເງິນ JJ ຖິ້ມເງິນ KC ຖິ້ມເງິນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ບໍ່ ;B
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. ຄາເລບ (Caleb) ຖິ້ມເງິນ Chase ຖິ້ມເງິນ Eleazar ຖິ້ມເງິນ Chanel ບໍ່ຖິ້ມເງິນຫຼຽນ. ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ບໍ່ ;B
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. ຊີລເວຍ (Silvia) ຖິ້ມເງິນ ຄາໂຣລິນາ ບໍ່ຖີ້ມເງິນ ສະຕັນ (Stan) ໄດ້ຖິ້ມເງິນ Chuck ຖິ້ມເງິນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ບໍ່ ;B
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. Breanna ຖິ້ມເງິນ Trey ບໍ່ flip ເງິນ. Omar ຖິ້ມເງິນ ປາຕຣີສບໍ່ໄດ້ຖີ້ມເງິນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ແມ່ນແລ້ວ ;A
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. Lilian ຖິ້ມເງິນຫຼຽນ. Ian flips ເງິນຫຼຽນ. ບຣາຍສ໌ (Bryce) ໄດ້ຖິ້ມເງິນ Aracely ບໍ່ຖິ້ມເງິນຫຼຽນ. ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ບໍ່ ;B
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. Walter ບໍ່ຖິ້ມເງິນ ມິຄາໄລລາ ບໍ່ຖິ້ມເງິນ ແລຣີບໍ່ໄດ້ຖີ້ມເງິນຫຼຽນ. ຣາຍອັນບໍ່ໄດ້ຖີ້ມເງິນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ແມ່ນແລ້ວ ;A
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. ແອນເຈີລີນາ (Angelina) ໄດ້ຖີ້ມເງິນຫຼຽນ Layla ຖິ້ມເງິນ Jenny ຖິ້ມເງິນ Zane ບໍ່ flip ເງິນ. ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ບໍ່ ;B
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. Lizzy ຖິ້ມເງິນ Juany ບໍ່ຖິ້ມເງິນຫຼຽນ. Aisha ໄດ້ຖິ້ມເງິນ ນາງ Brenda ບໍ່ ໄດ້ ໂຕ້ ຫຼຽນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ແມ່ນແລ້ວ ;A
"ເງິນສົດແມ່ນຫົວຫນ້າຂຶ້ນ. Elise ຖິ້ມເງິນ Lupe ໄດ້ຖີ້ມເງິນຫຼຽນ. ຣີນີ ບໍ່ ໄດ້ ໂຕ້ ຫຼຽນ ໂນເອມີ ບໍ່ຖິ້ມເງິນ ຫຼຽນຍັງຢູ່ເທິງບໍ? ສັງເກດວ່າ ""ຟີລ໌ປ໌"" ໃນທີ່ນີ້ ຫມາຍເຖິງ ""ຟີລ໌ປ໌"". ";ແມ່ນແລ້ວ ;A
