premise;question;choice1;choice2;label
その商品は泡状のフィルムで包装されていた. ;cause;壊れやすいものでした ;小さかった ;0
私はポケットを空にした. ;effect;チケットの切手を見つけた ;武器を見つけた ;0
甲虫が家に侵入した. ;effect;甲虫は家から消えていった. ; termiet は 家 の 木 を 喰い た. ;1
旅行者は国境に達した. ;effect;巡査はパスポートをチェックした. ;巡査は彼らを密輸で非難した. ;0
事務所は閉まっていた. ;cause;休日だった ;夏だった ;0
その少女はエネルギーが尽きました. ;cause;彼女はダミーをやった. ;彼女はロープを跳ねました. ;1
その女性は順位を落とした. ;cause;列に並んだ人が増えた. ;彼女は列を抜いた. ;1
その少女は鼻をくっつけた. ;cause;赤ちゃんはババに唾を吐いた ;その赤ちゃんは彼女のおむつを汚した. ;1
バンドは彼らのヒット曲を演奏した. ;effect;聴衆は音楽に合わせて拍手した. ;聴衆は礼儀正しく沈黙して聞きました. ;0
その少女は数学教師に感謝したかった. ;effect;少女は学校を後にして 留守学校に留まった ;その少女は先生にリンゴをあげた. ;1
若いキャンプ参加者は怖かった. ;cause;キャンプのカウンセラーが 幽霊の話をした ;彼らはキャンプファイアでマシュマロを焼いた. ;0
その男は頭をぶつけた. ;effect;彼は考えに迷った. ;震が起きた ;1
返済できなかった ;cause;私の銀行口座は空だった. ;昇給を貰った ;0
その男のメールの受信箱は スパムメールで一杯だった ;effect;彼はスパムを削除した. ;彼は大量のメールを送った. ;0
海兵は隔離されていた. ;cause;彼は病気に曝された. ;彼はその病気から回復した. ;0
少女はコードを暗記した. ;cause;彼女はそれを自分自身に唱えた. ;彼女はそれを書き留め忘れた. ;0
私はその水をグラスに注ぎました. ;effect;その水は私の渇きを和らげました. ;グラスは一杯になった. ;1
その男は友人が話終えたときも黙っていた. ;cause;彼は友人に支援を申し出たがった. ;彼は友人の言葉について考えていた. ;1
事故は私のせいだった. ;effect;罪を犯した ;告訴した ;0
鎖がバラバラになった. ;cause;チェーンがタイヤに巻かれていた. ;鎖に一つ欠けていた. ;1
夫婦は妥協することを決めた. ;cause;彼らは争うことに疲れた. ;彼らはその問題について話し合うのを避けていた. ;0
その女性は公職に参戦することに決めた. ;effect;選挙管理者を雇った ;彼女は法廷で証言した. ;0
その男は旅の際に寒い天候を予想していた. ;effect;彼はスーツケースに暖かい服を詰め込んだ. ;彼は大きなスーツケースを持って旅した. ;0
その生徒は質問の答えを知っていた. ;effect;彼は手を上げた. ;馬鹿げた ;0
その男の目は涙を流した. ;cause;埃が目に入った. ;彼は眼にゴーグルをかけた. ;0
その選手は5試合連続で勝った. ;effect;彼女の相手は彼女を浮気だと非難した. ;彼女の相手は彼女を気の毒に思った. ;0
先生は生徒の試験を裂いた. ;cause;彼はその学生が不正をしているのを捕まえた. ;その学生の答えは間違っていた. ;0
私は話すのをやめるために立ち止まった. ;cause;声を失いました ;私は息切れになった. ;1
冷凍食品は解凍した. ;cause;電子レンジに入れた ;プラスチックで覆った ;0
その従業員は病気のふりをした. ;cause;胃が痛かった ;彼は休日を取った ;1
その少女はプールに落下した. ;cause;プールデッキで走った ;彼女はダイビングボードから飛び降りた. ;1
映画チケットは売り切れました. ;cause;映画の初公開日でした ;その映画は不良評価を受けた. ;0
その男は体重を落としました. ;effect;人々は彼を孤立させました ;人々は彼を褒めたたえた. ;1
少女の手は水泡になった. ;cause;彼女は手紙をタイプした. ;彼女はロープに登った. ;1
サーカスの芸人は単輪車に乗っている間にジョングルした. ;effect;聴衆は驚きで歓声した. ;アクロバットはトラペスから振った. ;0
私は我慢を失いました. ;cause;友人は私を待たせた. ;私の友人は時間通りに到着した. ;0
争う国々は平和を望んでいました. ;effect;彼らは核兵器を開発した. ;彼らは条約を交渉した. ;1
その男は睡眠薬を飲んだ. ;effect;彼は眠気になった. ;彼は熱を引いた. ;0
その女性はソファにぶつかった. ;effect;ソファの脚が緩んだ. ;彼女は膝を傷つけた. ;1
その少年は風船を絞った. ;effect;バルーンが破れた. ;バルーンは飛んで行った. ;0
彼らは旅人としてホテルにチェックインした. ;effect;彼らは荷物をあけて行った. ;彼らは空港へ行った. ;0
桃を噛んだ ;effect;桃が傷ついた ;汁が流れた ;1
手が粘り付いた. ;cause;ドーナツを食べた ;甘いものが好きだった ;0
ドアを押した ;effect;ドアが開いた. ;ドアがロックされた. ;0
活動家たちは商品をボイコットした. ;cause;品質保証のために試験された. ;製品が製造されたのは児童労働によるものでした ;1
私は壁に穴をあけた. ;effect;穴からネズミが這い出てきた. ;穴から塵が吹き出した. ;1
その女性は妹に嫉妬した. ;cause;彼女の妹は幸せだった. ;姉は離婚した ;0
ワインをシャツにこぼした. ;effect;私はエプロンを着ました. ;シャツを変えた. ;1
預金管理者はキャッシュレジターを開いた. ;cause;そのお客様は財布を捜索した. ;そのお客さんは彼女に金を渡した. ;1
そのストリートミュージシャンは群衆を惹きつけた. ;effect;変えてくれた ;彼は群衆を退散させた. ;0
その少年はベビーシッターに泣き叫んだ. ;cause;彼は両親を懐かしんだ. ;スナック時間だった ;0
パイロットのレーダーが嵐を検出した. ;effect;パイロットはその嵐から遠ざかって航海した. ;パイロットが嵐を乗り越えて飛んだ. ;0
その木は葉を落とした. ;effect;葉は色を変えた. ;葉は地面に積もった. ;1
その少年は悪気な気分だった. ;effect;彼は妹とトランプをすることに決めた. ;彼は妹に冗談を言うことにした. ;1
その子供はトイレに行かなければならなかったと文句を言った. ;effect;彼の父は彼にソーダを飲ませた. ;彼の父はガソリンスタンドで車を止めた. ;1
その子は魚の餌を水槽に撒いた. ;effect;魚は水槽から飛び出した. ;魚は餌に向かって泳いだ. ;1
女性の政治的見解は変わりました ;effect;彼女は党派を切り替えた. ;彼女は抗議行動に参加した. ;0
浴室の洗面台が塞がっていた. ;effect;蛇口を開けた ;排水器を入れてた ;1
乗客は列車から降りた. ;cause;電車は駅に到着した. ;電車は笛を吹いた. ;0
その男は封筒の湿ったフラップを押した. ;effect;彼は封筒にスタンプを付けた. ;彼は封筒を閉めた. ;1
友達は連絡を絶った. ;cause;彼らはお互いの同居を楽しんだ. ;彼らは別の都市に移った. ;1
会計士は会社の資金を管理しなかった. ;effect;彼女は職から解雇された. ;彼女は産休に入りました. ;0
時計を見ました. ;cause;時計が鳴っているのを聞いた. ;時間確認したかった. ;1
手を絞めた ;cause;私は手書きでエッセイを書いた. ;妻と手をつないで ;0
ボルトが締め付けられた. ;cause;ボルトを入れ替えた ;鍵を回した ;1
その夫婦はアパートの賃貸契約に署名した. ;effect;その夫婦はアパートに引っ越した. ;市はアパートを 破棄した ;0
その女性は玄関の外に座っていた. ;cause;彼女は夕日を観たかった. ;彼女は雷を見たと思った. ;0
その男は水中で救命ジャケットを着ていた. ;cause;彼は泳げなかった. ;水は浅かった. ;0
その女性はテキストプロセッサでタイプミスをした. ;effect;彼女はその文書を削除した. ;バックスペースキーを押した ;1
その少女は友達に誇った. ;cause;彼女は悪い成績を出した. ;彼女はコンテストで勝った. ;1
芝生は泥だらけだった. ;cause;一晩中大雨が降った. ;雑草で満ちていた. ;0
寝てしまった ;cause;彼女はホテルで一晩滞在した. ;彼女は目覚まし時計をセットするのを忘れていた. ;1
男は日焼け止めを塗った. ;cause;彼は影に座った. ;彼はビーチへ行った. ;1
研究者たちはその理論を証明した. ;effect;研究者たちはその理論を撤回した. ;個人はその理論を受け入れました. ;1
試合のファンはビュッとした. ;cause;試合は延長戦になった. ;審判は間違った判断をした. ;1
鍵のコードを入力した ;effect;鍵を閉めた ;鍵が開けました. ;1
群衆は激しくなった. ;effect;その父は息子に少しのお金を渡した. ;父は息子の手を握った. ;1
雪がドライブウェイを塞いでいた. ;effect;私は雪を雪玉に集めました. ;私は雪をそらして,道を外した. ;1
カヤックに乗る者はをった. ;effect;カヤックは岸に届いた. ;カヤックは波にぶつかった. ;0
その少女は自転車の制御を失いました. ;effect;彼女はハンドルバールを放った. ;にぶつかった ;1
扇風機をつけました. ;effect;肌に水をまぶった ;涼しい空気が私の上に流れているのを感じました. ;1
サーファーたちはビーチに戻った. ;cause;彼らは濡れていた. ;彼らはサメを見た. ;1
バスルームの排水栓を抜いた ;effect;浴槽から水が流れ出した. ;水は床にこぼれた. ;0
夫は妻を浮気したことで罪悪感を感じた. ;effect;彼は彼女を浮気だと非難した. ;彼は彼女に浮気したことを告白した. ;1
ポスターのインクが汚れた. ;cause;墨が乾くのを待った. ;ポスターに水をこぼした. ;1
その子供は叫びながら目を覚ました. ;cause;彼は悪夢を見ました. ;彼はベッドに尿を入れた. ;0
少年は机の上に足を置いた. ;effect;彼の父はテーブルに座った. ;彼の父は彼に説教した. ;1
友人は私の方に向いて顔を向けた. ;cause;私は彼の名前を叫んだ. ;私は腕を振った. ;0
政府は市民を抑圧した. ;effect;市民は反乱を起こした. ;市民は投票に登録した. ;0
その少年は森で迷子になった. ;effect;彼はテントを張った. ;彼は助けを求めて叫んだ. ;1
その女性は海外旅行した. ;cause;彼女は絵を描くことを学びたいと思った. ;彼女は他の文化について学びたいと願った. ;1
その男は同僚に嫉妬していた. ;cause;彼の同僚は昇進した. ;彼の同僚は遅くまで働いた. ;0
異星人が目撃された ;cause;幻覚だった ;彼は瞑想していた. ;0
その男の髪は金髪になった. ;cause;漂白剤を入れてくれた ;シャンプーも入れてた ;0
その芸術家は新しい作品を創った. ;cause;彼女は以前の作品を批判した. ;彼女はインスピレーションの衝撃を感じた. ;1
両親 は 離婚 し て 離れ まし た ;cause;彼は軍から退役した. ;彼は大学へ行った ;1
書棚から本が落ちた. ;cause;棚は塵で覆われていた. ;地震が本棚を揺さぶった. ;1
私の家の電気は切れた. ;effect;灯りを点けた ;断路器をリセットした ;1
ローラーコースターに乗った. ;cause;怖かった ;楽しそうだった ;1
ポップコーン袋が飛び出し始めた. ;cause;私はバッグにバターを注いだ. ;電子レンジで加熱したんだ ;1
電気線に木が倒れた. ;effect;近所の電気は切れた. ;予報では強い風が吹くと予想されていた. ;0
演説者は政治的に不適切な発言をした. ;effect;彼は観客を退屈させた. ;彼は観客を侮辱した. ;1
ピンで刺した ;effect;顔から汗が流れました ;指に血の滴ができた. ;1
魚は水槽の表面に浮かんだ. ;cause;飢えていた ;死んでた ;1
その男の声はうなり声だった. ;cause;彼は風邪をひいた. ;彼はタバコをやめました. ;0
エレベーターのドアが開いた. ;cause;エレベーターは指定された階に到着した. ;エレベーターは二階の間には閉じ込められた. ;0
そのティーンエイジャーは家から逃げ出した. ;cause;彼は両親に嘘をついた. ;両親は彼を罰した ;1
浴室が水に浸った. ;cause;トイレが溢れた. ;給湯器が壊れた. ;0
その子犬は飼い主さんのそばにいました. ;cause;飼い主はその子犬に首輪を付けた. ;飼い主はその子犬をリードで飼っていた. ;1
その男は彼の反射を捕まえた. ;cause;彼は広々とした木の下で立っていた. ;彼は静かな湖の上に立っていた. ;1
恋人の電話を 逃した ;effect;戻った ;夕食で会った ;0
