,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,हम २०११ मे कानून आ व्यवस्थाक प्रशंसक बनलहुँ।,हम स्ट्रोक सँ ठीक भऽ रहल छलहुँ।,जखन हम घर पहुँचलहुँ तँ हम हरेक भाग देखबाक प्रयास केलहुँ।,२० सालक शो देखबाक प्रयासमे ई कठिन छल।,"हमरा लगैत अछि जे ""कानून आ व्यवस्था"" सब सँ खराब शो मे सँ एक अछि।",अन्ततः हम सभ गोटेकेँ देखलहुँ।,2
1,सभ केओ बॉब सँ प्रेम करैत छल किएक त ओ फिल्म मे एकटा लोकप्रिय चरित्रक भूमिका निभबैत छल।,बॉब एकरा घृणा करैत छल किएक तँ ओ ओहि चरित्र जकाँ नहि छल।,जिम बॉब सँ अपन चरित्रक कैच वाक्यांश कहबाक लेल कहलनि।,बॉबक लेल ई बहुत बेसी छल आ ओ क्रोध सँ विस्फोट भऽ गेल।,बॉब ओहि आदमी केँ कहलकैक जे ओ हुनका छोड़ि दियनि।,बॉब ओहि आदमीसँ चाह मँगलनि।,1
2,लिटा अपन पसंदीदा टेलिभिजन शो देखए चाहैत छल।,हुनकर बच्चासभ हुनका संग बैसि कऽ एकरा देखबाक लेल आग्रह केलक।,लिटा हुनका सभ केँ कहलनि जे हुनका सभ केँ किछु काज करए पड़तनि।,ओकर बच्चा सभ ओकर कपड़ाक टोकरी ल' लिविंग रूम मे घिसिआ लेलकैक।,लिटा दोपहरक भोजनक लेल पेपरनी पिज्जा मंगेलनि।,लिटा टीवी देखैत काल कपड़ाकेँ पट्टीमे बान्हि देलक।,2
3,एक जोरदार धमाके सँ भयभीत भऽ लिव कूदैत अछि।,ओ बुझि गेल जे रसोईक बल्ब जरि रहल अछि।,ओ एकटा फुटपाथ पर बैसि कऽ ओहि पर खसि पड़ल।,ओ ओकरा नीचाँ सँ झुकल आ ओ लगभग खसि पड़ल।,लिव बाथरूम मे एकटा बल्ब बदलबाक निर्णय केलक।,लिव बाद मे बल्ब बदललक।,2
4,माए अपन बच्चाकेँ कहलनि जे पन्द्रह मिनटमे भोजनक समय भऽ जाएत।,मुदा तखन हुनका एकटा महत्वपूर्ण फोन आयल।,"ओ जखन बात करैत छलीह, तखन कुत्ता रसोई मे मिट्टी सॅं घुरैत छल।","बच्चा सभ अपन माय केँ परेशान करए लागल, जे फोन पर बाजैत छल।",माँ केँ बहुत कष्ट भेलनि।,बच्चा सभक व्यवहार सँ माय शांत भेलि।,1
5,हेक्टर हमेशा काजसँ पहिने स्थानीय दोकानसँ कफी खरीदैत अछि।,ओ बुझैत अछि जे हुनकर कॉफी खरीदबाक आदत बहुत महग अछि।,एक दिन हेक्टर घरमे कफी बनएबाक निर्णय केलक।,हुनका गर्व अछि जे ओ घरमे बनाओल कफी एतेक नीक अछि।,हेक्टर अपन कॉफी बनाबैत रहल आ पैसा बचबैत रहल।,हेक्टर स्टारबक्स सँ बेसी कफी खरीदए लागल।,1
6,केली केँ पता चलल जे स्कूल मे एकटा नव लड़की अछि।,जखन ओ स्कूलमे प्रवेश केलक तखन ओ हुनका खोजि रहल छल।,"जखन ओ हुनका सँ भेटल, ओ हुनका भोजन पर बैसबाक लेल आमंत्रित केलक।","जखन ओ सभ भोजन केलक, तखन लड़की सभ दोस्त बनली।",केली फेर कहियो हुनका सँ बात नहि केलक।,केली एकटा नव मित्र बनाबऽमे प्रसन्न छल।,2
7,टोमी अपन पहिल ५ किमी दौड़बाक लेल कड़ा प्रशिक्षण लेने छल।,दौड़क दौरान ओ निराश भेल जखन ओतेक लोक हुनका सँ गुजरलनि।,पुरस्कारक दौरान जखन ओ अपन नाम सुनलनि त' ओ स्तब्ध रहलाह।,हुनका नहि बुझल छलनि जे ओ सभ आयु समूहक आधार पर पुरस्कार देत.,हुनका ई बात सँ लाज होइत छलनि जे हुनका कोनो मान्यता नहि भेटलनि।,ओ आयु वर्ग मे प्रथम स्थान पर रहला पर गर्व करैत छल मुदा समग्र मे दसम स्थान पर छल।,2
8,लोरी आइ राति अपन पहिल औपचारिक नृत्यमे जाएत अछि।,ओकर डेट ओकरा उठा कऽ एकटा सुन्दर गुलाब देलकैक।,लोरी लम्बा चमकैत पोशाक पहिरने छल।,ओ सभ अपन सब मित्रक संग नाचैत आ मस्ती करैत छल।,लोरिए घर जा कऽ कनैत छलीह।,लोरिए अपन डेटके चुम्मा लेलक।,2
9,नील ऐतिहासिक रेलमार्गक खोज कऽ रहल छल।,ओ पेन्सिलवेनियाक स्क्रानटन पहुँचल।,ओ बुझि गेल जे ओ एकटा सुन्दर पुरान रेल डिपो अछि।,ओ ओतऽ रहैत काल बहुत फोटो खिचलक।,नीलक सभटा फोटो मेटा गेल छल।,नीलकें अपन कम्प्यूटरमे फोटो सहेजने छल।,2
