m_query;response
La Julia va jugar a la pilota amb 18 nens el dilluns. Va jugar a la pilota amb 10 nens el dimarts. Amb quants nens més va jugar el dilluns que el dimarts? ;8.0
La Julia va jugar a la pilota amb 11 nens el dilluns. Va jugar a la pilota amb 12 nens el dimarts. Amb quants nens més va jugar el dimarts que el dilluns? ;1.0
La Julia va jugar a la pilota amb 5 nens el dilluns. Va jugar a la pilota amb uns altres nens el dimarts. Si va jugar amb un total de 15 nens amb quants nens va jugar el dimarts? ;10.0
La Julia va jugar a la pilota amb uns nens el dilluns. Va jugar a la pilota amb 14 nens el dimarts. Si va jugar amb un total de 16 nens amb quants nens va jugar el dilluns? ;2.0
La Julia va jugar a la pilota amb 16 nens el dilluns. Si va jugar a la pilota amb 12 nens més el dilluns que el dimarts amb quants nens va jugar el dimarts? ;4.0
La Julia va jugar a la pilota amb 14 nens el dimarts. Si va jugar a la pilota amb 8 nens més el dilluns que el dimarts amb quants nens va jugar el dilluns? ;22.0
La Julia va jugar a la pilota amb 17 nens el dilluns, 15 nens el dimarts i 2 nens el dimecres. Amb quants nens va jugar en total? ;34.0
La Julia va jugar a la pilota amb 15 nens el dilluns, 18 nens el dimarts i 97 nens el dimecres. Amb quants nens va jugar el dilluns i el dimarts? ;33.0
La Julia va jugar a la pilota amb 5 nens el dilluns, 9 el dimarts i 15 el dimecres. Amb quants nens va jugar el dilluns i dimecres? ;20.0
La Julia va jugar a la pilota amb 2 nens el dilluns, amb 14 nens el dimarts i amb 16 nens el dimecres. Amb quants nens va jugar el dimarts i dimecres? ;30.0
La Julia va jugar a l' arquet amb 9 nens el dilluns, 7 nens el dimarts i 96 nens el dimecres. Amb quants nens més va jugar el dilluns que el dimarts? ;2.0
La Julia va jugar a la pilota amb 14 nens el dilluns, 2 nens el dimarts i 8 nens el dimecres. Amb quants nens més va jugar el dilluns que el dimecres? ;6.0
La Julia va jugar a la pilota amb 8 nens el dilluns, 11 els dimarts i 9 els dimecres. Amb quants nens més va jugar el dimarts que el dimecres? ;2.0
La Julia va jugar a la pilota amb 15 nens el dilluns, 18 nens el dimarts i 7 nens el dimecres. Amb quants nens més va jugar el dilluns i el dimarts que el dimecres? ;26.0
La Julia va jugar a la pilota amb 13 nens el dilluns i 10 nens el dimarts. Va jugar a les cartes amb 15 nens dimecres. Amb quants nens va jugar en total? ;38.0
La Julia va jugar a la pilota amb set nens el dilluns i 13 nens el dimarts. Va jugar a les cartes amb 20 nens dimecres. Amb quants nens va jugar a la pilota en total? ;20.0
La Julia va jugar a la pilota amb 12 nens el dilluns. Va jugar a la pilota amb 14 nens el dimarts. Va passar un total de 34 hores jugant a la baraja en els dos dies. Amb quants nens va jugar en total? ;26.0
La Julia va jugar a la pilota amb 19 nens el dilluns. Va jugar a la pilota amb 18 nens el dimarts. Va passar un total de 38 hores jugant a la baraja en els dos dies. Amb quants nens més va jugar el dilluns que el dimarts? ;1.0
La Julia va jugar a la pilota amb 5 nens el dimarts. El dilluns havia jugat a la baraja amb sis nens. Amb quants nens més va jugar el dilluns que el dimarts? ;1.0
La Julia jugava a la pilota amb un total de 18 nens. Va jugar amb quatre nens el dilluns i amb alguns més el dimarts. Amb quants nens va jugar el dimarts? ;14.0
La Julia va jugar a la pilota amb quatre nens dimecres. Va jugar amb sis nens el dilluns i 17 el dimarts. Amb quants nens més va jugar el dilluns que el dimecres? ;2.0
