premise;question;choice1;choice2;label
یہ آئٹم بلبل لفافے میں پیک کیا گیا تھا. ;cause;یہ نازک تھا. ;یہ چھوٹا تھا. ;0
میں نے اپنی جیبیں خالی کرلیں۔ ;effect;میں نے ایک ٹکٹ کی ٹوپی حاصل کی. ;میں نے ایک ہتھیار مل گیا. ;0
گھر میں ٹرمٹ گھس گئے۔ ;effect;گھر سے ٹرمٹ غائب ہو گئیں۔ ;ٹرمٹ نے گھر کی لکڑی کو کھا لیا۔ ;1
مسافر سرحد پر پہنچ گئے۔ ;effect;گشت کے ایجنٹ نے ان کے پاسپورٹ چیک کیے۔ ;گشت کے ایجنٹ نے ان پر اسمگلنگ کا الزام لگایا۔ ;0
دفتر بند تھا. ;cause;یہ چھٹی تھی. ;یہ موسم گرما تھا. ;0
لڑکی کی توانائی ختم ہو گئی. ;cause;وہ ڈیم کھیلتی تھی۔ ;وہ رسی پر کود گیا. ;1
عورت اپنی صف میں جگہ کھو گئی۔ ;cause;مزید لوگ لائن میں شامل ہوئے۔ ;وہ لائن سے باہر قدم رکھا. ;1
لڑکی نے اپنی ناک کو چبایا۔ ;cause;بچے نے اس کی بیبی پر drooled. ;بچے نے اس کی ڈایپر کو گندا کر دیا. ;1
بینڈ نے اپنا ہٹ گانا بجایا۔ ;effect;سامعین نے موسیقی کے ساتھ ساتھ تالیاں بجائیں۔ ;سامعین نے ادب سے خاموشی سے سن لیا۔ ;0
لڑکی نے اپنے ریاضی کے استاد کا شکریہ ادا کرنا چاہا۔ ;effect;لڑکی اسکول کے بعد حراست کے لئے رہ گیا. ;لڑکی نے استاد کو ایک سیب لایا۔ ;1
نوجوان کیمپسروں کو خوف محسوس ہوا۔ ;cause;ان کے کیمپ کے مشیر نے انہیں ایک بھوت کی کہانی سنائی۔ ;وہ کیمپ فائر پر مارشملو روسٹ کر رہے تھے. ;0
اس آدمی نے اپنا سر مارا۔ ;effect;وہ سوچ میں گم ہو گیا. ;وہ ایک concussion ہے. ;1
میں نے لکھا چیک bounced. ;cause;میرا بینک اکاؤنٹ خالی تھا. ;میں نے تنخواہ میں اضافہ حاصل کیا. ;0
اس آدمی کا ای میل ان باکس سپیم سے بھرا ہوا تھا. ;effect;اس نے اسپام کو حذف کر دیا. ;اس نے ایک بڑے پیمانے پر ای میل بھیجا۔ ;0
ملاح قرنطینہ میں تھا. ;cause;وہ بیماری کے سامنے تھا. ;وہ بیماری سے صحت یاب ہو گیا. ;0
لڑکی کوڈ حفظ کر لیا. ;cause;وہ خود سے اس کا ذکر کیا. ;وہ اسے لکھنا بھول گئی۔ ;0
میں نے پانی گلاس میں ڈالا۔ ;effect;پانی نے میری پیاس بجھائی۔ ;گلاس بھر گیا. ;1
آدمی خاموش رہا جب اس کا دوست بولنے سے فارغ ہوا۔ ;cause;وہ اپنے دوست کی حمایت کی پیشکش کرنا چاہتا تھا. ;وہ اپنے دوست کے الفاظ پر سوچ رہا تھا۔ ;1
حادثہ میری غلطی تھی. ;effect;میں نے اپنے آپ کو مجرم محسوس کیا. ;میں نے شکایت درج کرائی۔ ;0
سلسلہ ٹوٹ گیا. ;cause;یہ زنجیر ایک ٹائر کے گرد لپیٹ دی گئی تھی۔ ;سلسلہ میں ایک ٹوٹی ہوئی لنک تھی. ;1
شادی شدہ جوڑے نے سمجھوتہ کرنے کا فیصلہ کیا۔ ;cause;وہ جھگڑے سے تھک گئے تھے۔ ;انہوں نے اس مسئلے پر بات کرنے سے گریز کیا۔ ;0
عورت نے عوامی عہدے کے لیے انتخاب لڑنے کا فیصلہ کیا۔ ;effect;اس نے ایک مہم مینیجر کو رکھا. ;اس نے عدالت میں گواہی دی. ;0
اس شخص نے اپنے سفر میں سردی کا اندازہ لگایا تھا۔ ;effect;اس نے اپنے سوٹ کیس میں گرم کپڑے پیک کیے تھے۔ ;وہ ایک بڑے سوٹ کیس کے ساتھ سفر کیا. ;0
طالب علم سوال کا جواب جانتا تھا۔ ;effect;اس نے ہاتھ اٹھایا۔ ;وہ گڑبڑ. ;0
اس آدمی کی آنکھیں آنسوؤں سے بھری ہوئی تھیں۔ ;cause;اس کی آنکھوں میں دھول ہو گئی. ;اس نے اپنی آنکھوں پر شیشے لگائے۔ ;0
اس کھلاڑی نے پانچ کھیل لگاتار جیتے تھے۔ ;effect;اس کے مخالف نے اس پر دھوکہ دہی کا الزام لگایا۔ ;اس کے مخالف نے اس پر افسوس کیا. ;0
استاد نے طالب علم کے امتحان کو پھاڑ کر پھینک دیا۔ ;cause;اس نے طالب علم کو دھوکہ دیتے ہوئے پکڑا۔ ;طالب علم کے جوابات غلط تھے۔ ;0
میں نے بات کرنا بند کرنے کے لئے رک گیا. ;cause;میں نے اپنی آواز کھو دی۔ ;میں سانس سے باہر چلا گیا. ;1
منجمد کھانا ٹھنڈا ہو گیا. ;cause;میں نے اسے مائکروویو میں ڈال دیا. ;میں نے اسے پلاسٹک کی لفافے سے ڈھانپ لیا۔ ;0
ملازم نے بیمار ہونے کا بہانہ کیا۔ ;cause;اس کے پیٹ میں درد تھا. ;وہ ایک دن کی چھٹی چاہتا تھا. ;1
لڑکی پول میں اتر گئی۔ ;cause;وہ پول ڈیک پر بھاگ گیا. ;وہ ڈائیونگ بورڈ سے کود گیا. ;1
فلم کے ٹکٹ فروخت ہو چکے ہیں۔ ;cause;یہ فلم کے لئے افتتاحی دن تھا. ;فلم کو ناقص جائزے ملے. ;0
اس آدمی نے وزن کم کیا. ;effect;لوگ اسے الگ تھلگ کر دیتے تھے ;لوگ اس کی تعریف کرتے تھے ;1
لڑکی کے ہاتھ پھپھوندیوں سے بھر گئے۔ ;cause;اس نے ایک خط ٹائپ کیا تھا۔ ;وہ ایک رسی پر چڑھ گیا. ;1
سرکس پرفارمر نے ایک پہیے پر سوار ہوتے ہوئے جوگلی کی ;effect;سامعین نے حیرت سے نعرے لگائے۔ ;ایکروبیٹ نے ٹرپیز سے جھولنا شروع کیا ;0
میں نے اپنا صبر کھو دیا. ;cause;میرے دوست نے مجھے انتظار کروا دیا. ;میرا دوست وقت پر پہنچا۔ ;0
جنگجو ممالک امن چاہتے تھے ;effect;انہوں نے ایٹمی ہتھیار تیار کیے۔ ;انہوں نے ایک معاہدے پر بات چیت کی. ;1
اس آدمی نے نیند کی دوائی لی تھی۔ ;effect;وہ سوتا ہوا آگیا۔ ;اسے بخار تھا ;0
عورت نے صوفے پر ٹکر ماری۔ ;effect;صوفے کی ٹانگ کھل گئی۔ ;اس نے اپنے گھٹنے کو چوٹ پہنچائی۔ ;1
لڑکے نے بالون کو دبا لیا۔ ;effect;بالون پھٹ گیا. ;بالون اڑ گیا. ;0
وہ مسافروں نے اپنے ہوٹل کے کمرے میں چیک کیا. ;effect;انہوں نے اپنے سامان کھولے. ;وہ ہوائی اڈے گئے. ;0
میں نے آڑو میں کاٹ لیا. ;effect;آڑو چوٹ. ;رس باہر پھینک دیا. ;1
میرے ہاتھ چپچپا ہو گئے۔ ;cause;میں نے ایک ڈونٹ کھایا. ;مجھے میٹھا پسند تھا۔ ;0
میں نے دروازہ دھکا دیا. ;effect;دروازہ کھل گیا. ;دروازہ بند کر دیا. ;0
کارکنوں نے مصنوعات کا بائیکاٹ کیا. ;cause;مصنوعات کو معیار کے یقین دہانی کے لئے جانچ کیا گیا تھا. ;مصنوعات کو بچوں کی محنت سے تیار کیا گیا تھا۔ ;1
میں نے دیوار میں ایک سوراخ کھودیا۔ ;effect;ایک چوہا سوراخ سے باہر نکلا۔ ;سوراخ سے دھول اڑ گئی۔ ;1
عورت اپنی بہن سے حسد کرتی تھی۔ ;cause;اس کی بہن خوش تھی. ;اس کی بہن طلاق ہو گئی. ;0
میں نے اپنی قمیض پر شراب بہائی۔ ;effect;میں نے ایک فرنٹ پر ڈال دیا. ;میں نے اپنی قمیض بدل لی۔ ;1
کیشئر نے کیش رجسٹر کھولا۔ ;cause;کسٹمر نے اس کا پرس تلاش کیا. ;کسٹمر نے اس کے پیسے دے دیئے۔ ;1
گلی کے موسیقار نے ہجوم کو اپنی طرف متوجہ کیا۔ ;effect;لوگ اسے تبدیل کر دیا. ;وہ ہجوم کو بھگا دیا۔ ;0
چھوٹا لڑکا اپنے بچی کی دیکھ بھال کرنے والے سے رو پڑا۔ ;cause;وہ اپنے والدین کو یاد کرتا تھا. ;یہ ناشتے کا وقت تھا. ;0
پائلٹ کے ریڈار نے طوفان کا پتہ لگایا۔ ;effect;پائلٹ طوفان سے دور نیویگیٹ. ;پائلٹ طوفان کے ذریعے اڑ گئے. ;0
درخت اپنے پتے گراتا ہے۔ ;effect;پتے رنگ بدل گئے۔ ;زمین پر جمع پتے. ;1
لڑکے کے مزاج میں بدمعاش تھا. ;effect;اس نے اپنی بہن کے ساتھ ایک کھیل کھیلنے کا فیصلہ کیا. ;اس نے اپنی بہن پر ایک عملی مذاق کھیلنے کا فیصلہ کیا. ;1
بچے نے شکایت کی کہ اسے باتھ روم جانا ہے۔ ;effect;اس کے والد نے اسے ایک سوڈا پینے کے لئے دیا. ;اس کے والد نے ایک پٹرول اسٹیشن پر گاڑی روک دی. ;1
بچے نے ٹینک میں مچھلی کا کھانا چھڑک دیا۔ ;effect;مچھلی ٹینک سے باہر کود گیا. ;مچھلی کھانے کی طرف تیرتی ہے۔ ;1
عورت کے سیاسی خیالات بدل گئے ;effect;اس نے پارٹی کی رکنیت تبدیل کر دی۔ ;وہ احتجاج میں مصروف تھی. ;0
باتھ روم کے سنک میں رکاوٹ تھی. ;effect;میں نے نل کو آن کیا. ;میں نے اس میں نالی صاف کرنے والا ڈالا. ;1
مسافر ٹرین سے اتر گئے۔ ;cause;ٹرین اسٹیشن پر پہنچ گئی۔ ;ٹرین نے اپنی سیٹی بجائی۔ ;0
آدمی لفافے کی مرطوب فلاپ پر دبایا. ;effect;اس نے لفافے پر مہر لگائی۔ ;اس نے لفافہ بند کر دیا. ;1
دوستوں نے رابطہ کھو دیا. ;cause;وہ ایک دوسرے کی صحبت سے لطف اندوز ہوتے تھے۔ ;وہ مختلف شہروں میں منتقل ہو گئے. ;1
اکاؤنٹنٹ نے کمپنی کے فنڈز کا غلط انتظام کیا۔ ;effect;اسے اس کی پوزیشن سے برطرف کر دیا گیا تھا۔ ;وہ زچگی کی چھٹی پر چلا گیا. ;0
میں نے گھڑی دیکھی۔ ;cause;میں نے گھڑی ٹِک ٹِک کرتے سنا۔ ;میں وقت چیک کرنا چاہتا تھا. ;1
میرا ہاتھ cramped. ;cause;میں نے یہ مضمون ہاتھ سے لکھا ہے۔ ;میری بیوی اور میں نے ہاتھ پکڑے ہوئے. ;0
بولٹ سخت. ;cause;میں بولٹ تبدیل کر دیا. ;میں نے اسکرین کی چابی کو موڑ دیا. ;1
جوڑے نے ایک اپارٹمنٹ کے لئے ایک معاہدے پر دستخط کیے. ;effect;جوڑے اپارٹمنٹ میں منتقل کر دیا. ;شہر نے اپارٹمنٹ کو مسترد کر دیا. ;0
عورت باہر پورچ پر بیٹھا. ;cause;وہ غروب آفتاب دیکھنا چاہتی تھی. ;اس نے سوچا کہ اس نے بجلی دیکھی ہے۔ ;0
اس شخص نے پانی میں لائف جیکٹ پہنی ہوئی تھی۔ ;cause;وہ تیر نہیں سکتا تھا. ;پانی کم گہرا تھا. ;0
عورت نے ورڈ پروسیسر میں ٹائپنگ کی غلطی کی. ;effect;اس نے دستاویز کو حذف کر دیا. ;وہ بیک اسپیس کلید مارا. ;1
لڑکی نے اپنے دوستوں کے سامنے گھمنڈ کیا. ;cause;اس نے برا نمبر لیا۔ ;اس نے ایک مقابلہ جیت لیا. ;1
گھاس کا میدان گندھک تھا. ;cause;رات بھر بارش ہوتی رہی۔ ;یہ گھاس سے بھرا ہوا تھا. ;0
عورت overslept. ;cause;وہ ایک ہوٹل میں رات گزار رہی تھی۔ ;وہ الارم گھڑی سیٹ کرنا بھول گئی۔ ;1
آدمی سورج کی حفاظت پر ڈال دیا. ;cause;وہ سایہ میں بیٹھا تھا ;وہ ساحل سمندر پر گیا تھا. ;1
محققین نے اس نظریے کو ثابت کیا۔ ;effect;محققین نے اس نظریے کو واپس لے لیا۔ ;افراد نے نظریہ قبول کر لیا۔ ;1
کھیل میں شائقین نے ہائے کر دی۔ ;cause;کھیل اوور ٹائم میں چلا گیا. ;ریفری نے غلط فیصلہ کیا. ;1
میں نے اپنے مجموعہ میں داخل کیا ہے کہ قفل پر. ;effect;میں نے قفل بند کر دیا. ;تالا کھل گیا. ;1
ہجوم میں شدت آئی ;effect;باپ نے بیٹے کو کچھ پیسے دئیے. ;باپ نے اپنے بیٹے کا ہاتھ پکڑ لیا۔ ;1
برف ڈرائیو وے کو روک رہی تھی. ;effect;میں نے برف کو برف کی گیند میں جمع کیا۔ ;میں نے برف کو راستے سے ہٹا دیا. ;1
کیاکروں نے اپنی رسیاں پھینکی۔ ;effect;کیاک ساحل پر پہنچ گیا. ;کیاک نے ایک لہر کو مارا. ;0
لڑکی نے اپنی موٹر سائیکل پر کنٹرول کھو دیا. ;effect;وہ ہینڈلبر سے چھوڑ دیا. ;وہ ایک باڑ میں گر گیا. ;1
میں نے پنکھا چالو کیا. ;effect;میرے چہرے پر پانی چھڑک دیا گیا ;میں نے ٹھنڈی ہوا کو اپنے اوپر سے گزرتے ہوئے محسوس کیا۔ ;1
سرفرز ساحل پر واپس آ گئے۔ ;cause;وہ بھیگ گئے تھے. ;انہوں نے ایک شارک دیکھا. ;1
میں نے غسل خانے میں نالی کا پلگ کھینچا۔ ;effect;پانی ٹب سے نکالا. ;پانی فرش پر چھڑک دیا. ;0
شوہر نے اپنی بیوی کو دھوکہ دینے کے بارے میں خود کو قصوروار سمجھا۔ ;effect;اس نے اس پر بے وفائی کا الزام لگایا۔ ;اس نے اس سے اپنی بے وفائی کا اعتراف کیا۔ ;1
پوسٹر پر سیاہی دھندلا. ;cause;میں نے سیاہی کے خشک ہونے کا انتظار کیا۔ ;میں نے پوسٹر پر پانی ڈالا۔ ;1
بچہ چیخ چیخ کر جاگ گیا. ;cause;اس نے ایک ڈراؤنا خواب دیکھا تھا. ;اس نے بستر پر پانی ڈالا۔ ;0
لڑکے نے اپنے پیروں کو میز پر رکھا۔ ;effect;اس کے والد میز پر بیٹھ گئے. ;اس کے والد نے اسے نصیحت کی تھی ;1
میرے دوست نے میری طرف اپنا سر پھیر لیا۔ ;cause;میں نے اس کا نام پکارا۔ ;میں نے اپنے بازوؤں کو لہرا دیا. ;0
حکومت اپنے شہریوں پر ظلم کرتی تھی ;effect;شہریوں نے بغاوت کی. ;ووٹ ڈالنے کے لیے رجسٹرڈ شہری۔ ;0
لڑکا جنگل میں گم ہو گیا تھا۔ ;effect;اس نے خیمہ کھڑا کیا. ;اس نے مدد کے لیے چیخ ماری۔ ;1
عورت بیرون ملک سفر کر چکی ہے۔ ;cause;وہ ڈرائنگ سیکھنا چاہتی تھی۔ ;وہ دوسری ثقافتوں کے بارے میں جاننا چاہتی تھی۔ ;1
وہ آدمی اپنے ساتھی کارکن سے حسد کرتا تھا۔ ;cause;اس کے ساتھی کو ترقی ملی۔ ;اس کے ساتھی نے دیر تک کام کیا. ;0
اس آدمی نے غیر ملکیوں کو دیکھا. ;cause;وہ hallucinating تھا. ;وہ مراقبہ کر رہا تھا. ;0
اس آدمی کے بال سنہرے ہو گئے۔ ;cause;وہ اس میں بلیچ ڈال دیا. ;وہ شیمپو میں ڈال دیا. ;0
فنکار نے نیا کام تخلیق کیا۔ ;cause;اس نے اپنے سابقہ کام پر تنقید کی۔ ;اس نے ایک الہام کا احساس کیا. ;1
[ صفحہ ۲۲ پر تصویر] ;cause;وہ فوج سے فارغ کر دیا گیا تھا. ;وہ کالج جا رہا تھا. ;1
کتابیں کتابوں کی الماری سے گر گئیں۔ ;cause;شیلف دھول سے ڈھکے ہوئے تھے. ;زلزلے نے کتابوں کی الماری کو ہلا دیا۔ ;1
میرے گھر میں بجلی بند ہو گئی۔ ;effect;میں نے روشنی چلائیں۔ ;میں سرکٹ بریکر ری سیٹ. ;1
ہم نے رولر کوسٹر پر سوار کیا. ;cause;یہ خوفناک لگ رہا تھا. ;یہ مزہ لگ رہا تھا. ;1
پاپ کارن کا بیگ پھٹنا شروع ہوا۔ ;cause;میں نے بیگ میں مکھن ڈالا۔ ;میں نے اسے مائکروویو میں گرم کیا. ;1
ایک درخت بجلی کی لائن پر گر گیا. ;effect;پڑوس میں بجلی بند ہو گئی. ;موسم کی پیش گوئی میں تیز ہواؤں کی پیش گوئی کی گئی ہے۔ ;0
