question;answer_number
جینیٹ کی بتھیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے کے لئے تین کھاتا ہے اور ہر روز چار کے ساتھ اپنے دوستوں کے لئے مفلین بنا دیتا ہے. وہ باقی کو روزانہ کسانوں کی مارکیٹ میں تازہ بتھ انڈے کے 2 ڈالر میں فروخت کرتی ہے۔ وہ کسانوں کی مارکیٹ میں ہر روز ڈالر میں کتنا کماتی ہے؟ ;18
ایک لباس نیلے ریشہ کے 2 بولٹ لیتا ہے اور نصف اتنا سفید ریشہ. اس میں کل کتنے بولٹ لگتے ہیں؟ ;3
جوش نے گھر کو پلٹانے کی کوشش کرنے کا فیصلہ کیا. وہ ایک گھر $80,000 میں خریدتا ہے اور پھر $50,000 میں مرمت کرتا ہے۔ اس سے گھر کی قیمت میں 150 فیصد اضافہ ہوا۔ اس نے کتنا منافع کما لیا؟ ;70000
جیمز نے ہفتے میں تین بار تین دوڑیں چلانے کا فیصلہ کیا۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ایک ہفتے میں کل کتنے میٹر چلتا ہے؟ ;540
ہر روز، وینڈی اپنے ہر مرغی کو تین کپ مخلوط مرغی کا کھانا کھلاتی ہے، جس میں بیج، دال کے کیڑے اور سبزیوں کو صحت مند رکھنے میں مدد ملتی ہے. وہ مرغیوں کو تین الگ الگ کھانے میں کھانا دیتی ہے۔ صبح، وہ اپنے مرغیوں کے ریوڑ کو 15 کپ کھانا دیتی ہے۔ دوپہر میں، وہ اپنے مرغیوں کو مزید 25 کپ کھانا دیتی ہے۔ اگر وینڈی کے ریوڑ کی تعداد 20 مرغیوں کی ہے تو دن کے آخری کھانے میں اسے اپنے مرغیوں کو کتنے کپ کھانا دینے کی ضرورت ہے؟ ;20
کلر اپنے نئے اپارٹمنٹ کے لیے شیشے خریدنے کے لیے دکان پر گیا تھا۔ ایک گلاس کی قیمت پانچ ڈالر ہے لیکن ہر دوسرے گلاس کی قیمت قیمت کا صرف 60 فیصد ہے۔ کلر 16 گلاس خریدنا چاہتا ہے. اس کے لیے اسے کتنا ادا کرنا ہوگا؟ ;64
ٹولوس چارلسٹن کے مقابلے میں دوگنا بھیڑیں ہیں. چارلسٹن میں سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ ٹولوس، چارلسٹن اور سیئٹل کے پاس کتنی بھیڑیں ہیں اگر سیئٹل کے پاس 20 بھیڑیں ہیں؟ ;260
کارلا 200 جی بی فائل ڈاؤن لوڈ کر رہی ہے. عام طور پر وہ 2 جی بی / منٹ ڈاؤن لوڈ کر سکتی ہے، لیکن ڈاؤن لوڈ کے ذریعے 40٪ راستے، ونڈوز اپ ڈیٹس انسٹال کرنے کے لئے دوبارہ شروع کرنے پر مجبور کرتا ہے، جس میں 20 منٹ لگتے ہیں. پھر کارلا شروع سے ڈاؤن لوڈ دوبارہ شروع کرنا پڑے گا. فائل کو ڈاؤن لوڈ کرنے کے لئے کتنا بوجھ لیتا ہے؟ ;160
جان نے تین گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلائی اور پھر پلٹ آیا کیونکہ اسے احساس ہوا کہ وہ گھر میں ایک بہت اہم چیز بھول گیا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے لیکن پہلے 2 گھنٹے ٹریفک میں رکنے میں گزارتا ہے۔ وہ اگلے آدھے گھنٹے 30mph کی رفتار سے گاڑی چلانے میں گزارتا ہے، اس سے پہلے کہ وہ 80mph پر چلنے والے 4 گھنٹے کے باقی وقت کو چلانے کے قابل ہو. ان چار گھنٹوں کے اختتام پر وہ گھر سے کتنا دور ہے؟ ;45
ایلیزا کی ہر ہفتے کام کرنے والے پہلے 40 گھنٹوں کی فی گھنٹہ کی شرح 10 ڈالر ہے۔ اس کے علاوہ اسے اوور ٹائم کی تنخواہ بھی ملتی ہے جو اس کی باقاعدہ گھنٹہ وار تنخواہ سے 1.2 گنا زیادہ ہے۔ اگر ایلیزا نے اس ہفتے 45 گھنٹے کام کیا تو اس ہفتے اس کی کمائی کتنی ہے؟ ;460
ایک نئے پروگرام میں پہلے مہینے میں 60 ڈاؤن لوڈ ہوئے۔ دوسرے مہینے میں ڈاؤن لوڈ کی تعداد پہلے مہینے کی تعداد سے تین گنا زیادہ تھی، لیکن پھر تیسرے مہینے میں 30 فیصد کم ہوگئی۔ تین مہینوں میں پروگرام کو کتنی بار ڈاؤن لوڈ کیا گیا؟ ;366
ٹولا بیکری میں گیا اور مختلف قسم کے پیسٹری خریدے۔ اس نے 3 درجن ڈونٹس خریدے جن کی قیمت 68 ڈالر فی درجن تھی، 2 درجن منی کیک جن کی قیمت 80 ڈالر فی درجن تھی، اور 6 درجن منی پنیر کیک 55 ڈالر فی درجن تھے۔ کل لاگت کتنی تھی؟ ;694
کارلوس لیموں کا درخت لگا رہا ہے۔ درخت لگانے پر 90 ڈالر خرچ ہوں گے۔ ہر سال اس سے 7 لیموں اگیں گے، جو وہ ڈیڑھ ڈالر میں بیچ سکتا ہے۔ درخت کو پانی اور خوراک دینے کے لیے سالانہ تین ڈالر خرچ ہوتے ہیں۔ اس سے پہلے کہ وہ لیموں کے درخت پر پیسہ کمانا شروع کرے گا کتنے سال لگیں گے؟ ;13
میلانی ایک دروازے سے دروازے کی فروخت خاتون ہے. اس نے گرین ہاؤس میں اپنے ایک تہائی ویکیوم کلینر فروخت کیے، 2 مزید سرخ گھر میں، اور آدھا جو نارنجی گھر میں رہ گیا تھا۔ اگر میلانی کے پاس 5 ویکیوم کلینر باقی ہیں، تو اس نے کتنے سے شروع کیا؟ ;18
20 طلبہ کی ایک ڈانس کلاس میں، 20 فیصد نے عصری رقص میں داخلہ لیا، باقی 25 فیصد نے جاز رقص میں داخلہ لیا، اور باقی نے ہپ ہاپ رقص میں داخلہ لیا۔ ہپ ہاپ ڈانس میں کتنے فیصد طلبہ داخلہ لے رہے ہیں؟ ;60
ایک تاجر خریداری کے 2 منصوبوں کے درمیان خریداری کا انتخاب کرنا چاہتا ہے: زیورات کی قیمت $ 5،000 یا الیکٹرانک گیجٹ کی قیمت $ 8،000 ہے۔ ان کے مالی مشیر نے قیاس کیا ہے کہ زیورات کی مارکیٹ میں 2.5 فیصد اضافہ ہوگا جبکہ الیکٹرانک گیجٹ مارکیٹ میں اسی مہینے میں 1.2 فیصد اضافہ ہوگا۔ اگر تاجر اس مہینے کے آخر میں زیادہ سے زیادہ منافع حاصل کرنا چاہتا ہے تو اس کا انتخاب کر کے، یہ کتنا منافع ہوگا؟ ;125
دو ٹرینیں ایک ہی وقت میں سان رافیل سے روانہ ہوتی ہیں۔ وہ دونوں 80 میل کے فاصلے پر مغرب کی طرف سفر شروع کرتے ہیں۔ اگلے دن، وہ شمال کی طرف سفر کرتے ہیں، 150 میل کا سفر طے کرتے ہیں۔ ہر ٹرین نے دو دن میں کتنا فاصلہ طے کیا؟ ;230
جِل کو ٹیچر ہونے کے لیے 20 ڈالر فی گھنٹہ اور چیئر لیڈرز کی کوچنگ کے لیے 30 ڈالر ملتے ہیں۔ اگر وہ سال میں 50 ہفتے کام کرتی ہے، 35 گھنٹے ایک ہفتے کے طور پر ایک استاد اور 15 گھنٹے ایک ہفتے کے طور پر ایک کوچ، اس کی سالانہ تنخواہ کیا ہے؟ ;57500
کلئر ہر صبح ناشتے کے لیے تین انڈوں والی آملیٹ بناتی ہے۔ وہ 4 ہفتوں میں کتنے درجن انڈے کھائے گی؟ ;7
ماریسا 12 میل کی پگڈنڈی پر پیدل سفر کر رہی ہے۔ پہلے 4 میل چلنے میں اسے ایک گھنٹہ لگا، پھر اگلے دو میل چلنے میں ایک گھنٹہ لگا۔ اگر وہ چاہتا ہے کہ اس کی اوسط رفتار 4 میل فی گھنٹہ ہو، تو اسے باقی فاصلہ چلنے کے لیے کتنی رفتار (کلومیٹر فی گھنٹہ میں) کی ضرورت ہے؟ ;6
میرے پاس 10 لیٹر نارنج ڈرنک ہے جس میں دو تہائی پانی ہے اور میں اسے 15 لیٹر انناس ڈرنک میں شامل کرنا چاہتا ہوں جو تین پانچواں پانی ہے۔ لیکن جب میں اسے ڈالتا ہوں تو میں ایک لیٹر نارنجی مشروب بہا دیتا ہوں۔ باقی 24 لیٹر میں کتنا پانی ہے؟ ;15
ریمنڈ اور سامنتا کزن ہیں۔ ریمنڈ 6 سال قبل پیدا ہوا تھا سامنتھا. ریمنڈ نے 23 سال کی عمر میں ایک بیٹا تھا. اگر سامنتھا اب 31 سال کی ہے تو ریمنڈ کا بیٹا کتنے سال پہلے پیدا ہوا تھا؟ ;14
بیلی ڈی وی ڈی فروخت کرتا ہے. اس کے منگل کو 8 گاہک ہیں. اس کے پہلے 3 گاہکوں میں سے ہر ایک ایک ڈی وی ڈی خریدتا ہے. اس کے اگلے دو گاہکوں کو ہر ایک 2 ڈی وی ڈی خریدنے. اس کے آخری 3 گاہکوں کو کسی بھی ڈی وی ڈی خریدنے نہیں. بیلی نے منگل کو کتنی ڈی وی ڈی فروخت کیں؟ ;7
ایک موم بتی ہر گھنٹے میں 2 سینٹی میٹر پگھل جاتی ہے جو جلتی ہے۔ ایک شمع ایک بجے سے پانچ بجے تک جلنے کے بعد کتنے سینٹی میٹر چھوٹی ہو جائے گی؟ ;8
کائل نے پچھلے سال کی سب سے زیادہ فروخت ہونے والی کتاب 19.50 ڈالر میں خریدی۔ یہ اصل قیمت سے 25 فیصد رعایت کے ساتھ ہے. کتاب کی اصل قیمت کتنی تھی؟ ;26
مِری نے ایک مرغی کا کھانا آرڈر کیا جس کی قیمت ۱۲ ڈالر ہے، دودھ کے ۵ پیکٹ جن کی قیمت ۳ ڈالر ہے، ۴ سیب جن کی قیمت ۱.۵۰ ڈالر ہے، اور پیزا کے کچھ ڈبے۔ میری نے کل 50 ڈالر ادا کیے۔ اگر ہر پیزا کا باکس 8.50 ڈالر کا ہے تو ماری نے پیزا کے کتنے ڈبوں کا آرڈر دیا؟ ;2
مشکا نے 3 جوڑے شارٹس، 3 جوڑی پتلون اور 3 جوڑے جوتے خریدے۔ ایک جوڑی شارٹس کی قیمت 16.50 ڈالر ہے۔ ایک جوڑی پتلون کی قیمت 22.50 ڈالر اور ایک جوڑی جوتے کی قیمت 42 ڈالر ہے۔ مشکا نے کپڑوں پر کتنے ڈالر خرچ کیے؟ ;243
سینتھیا ہر رات آئس کریم کی ایک پیاری کھاتی ہے۔ وہ آئس کریم کے کارٹن خریدتی ہے جس میں آئس کریم کی 15 پیسٹیں ہوتی ہیں اور اس کی قیمت 4 ڈالر فی کارٹن ہے۔ 60 دن کے بعد، وہ آئس کریم پر کتنا خرچ کرے گی؟ ;16
ہنری نے اپنے 60 میل کے سائیکل سفر کے دوران دو رکاوٹیں بنائیں۔ وہ پہلے 20 میل کے بعد روکا. اس کا دوسرا سٹاپ سفر کے اختتام سے 15 میل پہلے تھا۔ اس نے پہلے اور دوسرے سٹاپ کے درمیان کتنے میل کا سفر کیا؟ ;25
گلوریا جوتے خرید رہی تھی جب اس کے پاس جوتے تھے جو اس کے جوتے کے بجٹ کے مطابق تھے۔ تاہم، اسے بوٹ اور دو جوڑی اونچی ہیلس کے درمیان انتخاب کرنا ہے جن کی قیمت بوٹ سے پانچ ڈالر کم ہے۔ اگر ایک جوڑی ہیلس کی قیمت 33 ڈالر اور دوسری جوڑی کی قیمت دوگنی ہو تو بوٹ کتنے ڈالر ہیں؟ ;104
ڈیرل اور ایلن کی عمر کا تناسب 7:11 ہے۔ اگر اُن کی مجموعی عمر اب 162 ہے تو اب سے 10 سال بعد ایلن کی عمر کا حساب لگائیں۔ ;109
گینٹر ایک جار میں جیلی بینز گننے کی کوشش کر رہا ہے۔ وہ اپنے دوستوں سے پوچھتا ہے کہ وہ سوچتے ہیں کہ جار میں کتنے ہیں. ایک 80 کہتے ہیں. ایک اور کہتا ہے کہ پہلے کی نصف رقم سے 20 زیادہ ہے۔ ایک تہائی نے پہلے والے سے 25 فیصد زیادہ کہا۔ ان کا اوسط اندازہ کیا ہے؟ ;80
جان 10 کتوں کی دیکھ بھال کرتا ہے۔ ہر کتے کو چلنے اور اپنے کاروبار کی دیکھ بھال کرنے میں دن میں 0.5 گھنٹے لگتے ہیں۔ وہ کتوں کی دیکھ بھال میں ہفتے میں کتنے گھنٹے گزارتا ہے؟ ;35
گرچن 110 سکے ہے. چاندی کے سککوں کے مقابلے میں 30 زیادہ سونے کے سککوں ہیں. کتنے سونے کے سککوں Gretchen ہے؟ ;70
شوبن ہارون سے 2 کم جواہرات ہے. ارون ریمنڈ کے جواہرات کے نصف سے 5 زیادہ جواہرات ہے. اگر ریمنڈ کے پاس چالیس جواہرات ہیں، تو شوبن کے پاس کتنے جواہرات ہیں؟ ;23
مائیک 40 منٹ کے لئے پنگ پونگ کھیلتا ہے. پہلے 20 منٹ میں، وہ 4 پوائنٹس اسکور. دوسرے 20 منٹ میں، وہ 25 فیصد زیادہ پوائنٹس اسکور. اس نے کل کتنے پوائنٹس اسکور کیے؟ ;9
ٹیری ایک دن میں دو یوگورٹ کھاتا ہے۔ فی الحال یہ 4 یوگورٹس کی قیمت پر فروخت کی جا رہی ہیں، جو پانچ ڈالر میں مل رہی ہے۔ وہ تیس دن میں یوگورت پر کتنا خرچ کرتا ہے؟ ;75
جان نے اپنے تمام کھلونے بیچنے اور پیسے کا استعمال ویڈیو گیمز خریدنے کا ارادہ کیا ہے۔ اس کے پاس 13 لیگو سیٹ ہیں اور وہ انہیں ہر ایک کو 15 ڈالر میں فروخت کرتا ہے۔ وہ 8 ویڈیو گیمز خریدنے کے لئے ختم ہوتا ہے $ 20 ہر ایک اور $ 5 چھوڑ دیا ہے. اس کے پاس اب بھی کتنے لیگو سیٹ ہیں؟ ;2
جان ایک ہفتے میں 60 میل چلتا ہے. وہ ہفتے میں تین دن چلتا ہے. وہ پہلے دن 3 گھنٹے اور دوسرے دو دن آدھے دوڑتا ہے. وہ کتنی تیزی سے دوڑتا ہے؟ ;10
ڈانا چلنے سے چار گنا زیادہ تیز دوڑ سکتی ہے لیکن اس کی دوڑ کی رفتار سے آدھی تیزی سے چھلانگ لگا سکتی ہے۔ اگر وہ 3 میل فی گھنٹہ کی رفتار سے چھلانگ لگا سکتی ہے تو وہ 6 گھنٹوں میں کتنے میل کا سفر کر سکتی ہے اگر وہ ایک تہائی وقت دوڑنے اور دو تہائی وقت چلنے میں گزارے؟ ;18
برانڈن کا آئی فون بین کے آئی فون سے چار گنا پرانا ہے۔ بین کا آئی فون سوزی کے آئی فون سے دوگنا پرانا ہے۔ اگر سوزی کا آئی فون ایک سال پرانا ہے تو برینڈن کا آئی فون کتنا پرانا ہے؟ ;8
عظیم ڈریگن، Perg، پہاڑ Farbo کے سب سے اوپر پر اونچی اونچی بیٹھا، 1000 فٹ کے فاصلے کے اندر اندر کسی بھی چیز پر آگ پھونک. پولی سونے کی نیزہ پھینک سکتی تھی، جو واحد ہتھیار تھا جو ڈریگن کو سواروں سے مار سکتا تھا، 400 فٹ کے فاصلے تک، ڈریگن کی آگ کی پہنچ کے اندر۔ لیکن جب پولی نے نیلم قیمتی پتھر کو تھام لیا، تو وہ نیزہ تین گنا زیادہ دور پھینک سکتی تھی جب وہ قیمتی پتھر نہیں تھام رہی تھی۔ اگر وہ قیمتی پتھر تھامے ہوئے ہے تو ڈریگن کی آگ کی پہنچ سے کتنی دور پولی کھڑی ہو سکتی ہے اور پھر بھی سونے کی نیزے سے ڈریگن کو مار سکتی ہے؟ ;200
دادی جونز نے فائر مین کے دوپہر کے کھانے کے لیے پانچ سیب کی ٹوکریاں پکائیں۔ اس نے ہر پائی کو 8 ٹکڑوں میں کاٹا اور پانچ پائیوں کو بفیٹ ٹیبل پر مہمانوں کے لئے خود کی خدمت کے لئے رکھا۔ شام کے اختتام پر، مہمانوں کے بعد ان کے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹکڑے ٹک مہمانوں نے کتنے ٹکڑے لیے؟ ;26
غذائی معلومات کے مطابق، ایک سیکنڈ میں 250 کیلوریز ہوتی ہیں۔ اگر 300 گرام کے ایک بیگ میں 5 حصے ہیں، تو آپ کتنے گرام کھا سکتے ہیں اگر آپ کا روزانہ کیلوری کا ہدف 2000 ہے اور آپ نے پہلے ہی 1800 کیلوری کا استعمال کیا ہے؟ ;48
چارلی مکھی موم موم بتیاں فروخت کرنا چاہتا ہے. ہر پونڈ مکھی کے موم کے لیے وہ دس کانپے موم بتیاں بنا سکتا ہے۔ ایک پونڈ مکھی کے موم اور فکسٹس کی قیمت 10 ڈالر ہے۔ اگر وہ ہر موم بتی کو دو ڈالر میں فروخت کرتا ہے تو اس کا خالص منافع کیا ہوگا اگر وہ 20 موم بتیاں بنا کر فروخت کرے؟ ;20
میریڈتھ ایک فری لانس بلاگر ہے جو صحت کے موضوعات پر لکھتی ہے اور ہر روز اپنے مستقل کام کے طور پر گاہکوں کو پیش کرتی ہے۔ ایک بلاگ آرٹیکل کی تحقیق اور اس کے بارے میں لکھنے میں اوسطاً 4 گھنٹے لگتے ہیں۔ گزشتہ ہفتے، اس نے پیر کو 5 مضامین لکھے اور منگل کو دو سے پانچ گنا زیادہ مضامین لکھے. بدھ کے روز، اس نے منگل کے روز لکھے گئے مضامین کی تعداد دوگنی کر دی۔ تین دنوں میں مضامین لکھنے میں اس نے کتنے گھنٹے گزارے ہیں اس کا حساب لگائیں۔ ;104
