,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Tôi trở thành một người hâm mộ của Law and Order vào năm 2011.,Tôi đang hồi phục sau một cơn đột quỵ.,"Khi về nhà, tôi cố xem hết hết hết.",Thật khó để cố gắng xem 20 năm của một chương trình.,Tôi nghĩ Law and Order là một trong những chương trình tồi tệ nhất từng được thực hiện.,Cuối cùng tôi đã xem tất cả.,2
1,Mọi người đều yêu Bob vì anh ấy đóng vai một nhân vật nổi tiếng trong phim.,Bob ghét nó vì anh ta không giống nhân vật đó chút nào.,Jim yêu cầu Bob nói câu nói nổi tiếng của nhân vật của anh ta.,Bob đã quá khổ và ông ta bùng nổ vì giận dữ.,Bob bảo người đàn ông đó để anh ta yên.,Bob đã mời người đàn ông đó uống trà.,1
2,Lita muốn xem chương trình yêu thích của cô ấy trên truyền hình.,Con cái của bà khăng khăng muốn bà ngồi xem phim với họ.,Lita nói với họ rằng cô ấy có việc phải làm.,Con cái cô ấy kéo giỏ giặt của cô ấy vào phòng khách.,Lita đã gọi pizza pepperoni cho bữa trưa.,Lita gấp quần áo trong khi xem tivi.,2
3,Liv nhảy khi cô ấy bị giật mình bởi một tiếng nổ lớn.,Cô ấy nhận ra đó là bóng đèn trong nhà bếp của cô ấy đang cháy.,Cô ấy lấy một cái ghế và bước lên nó.,Nó lắc lư dưới chân cô ấy và cô ấy suýt ngã.,Liv quyết định thay một bóng đèn trong phòng tắm.,Liv sau đó thay bóng đèn.,2
4,Mẹ nói với các con rằng sẽ đến giờ ăn trưa trong mười lăm phút nữa.,Nhưng rồi cô ấy nhận được một cuộc gọi quan trọng.,"Trong khi bà ấy đang nói, con chó kéo bùn khắp nhà bếp.","Các con bắt đầu quấy rầy mẹ, người vẫn đang nói chuyện điện thoại.",Mẹ cô cảm thấy khá thất vọng.,Hành vi của các con làm bà mẹ bình tĩnh lại.,1
5,Hector luôn mua cà phê ở một cửa hàng địa phương trước khi đi làm.,Anh ta nhận ra rằng thói quen mua cà phê của anh ta rất đắt tiền.,Một ngày nọ Hector quyết định pha cà phê ở nhà.,Anh ấy tự hào rằng cà phê anh ấy làm ở nhà rất ngon.,Hector cứ tự pha cà phê và tiết kiệm tiền.,Hector bắt đầu mua thêm cà phê từ Starbucks.,1
6,Kelly phát hiện ra có một cô gái mới ở trường.,"Khi cô ấy bước vào trường, cô ấy đi tìm cô ấy.","Khi gặp cô ấy, cô ấy mời cô ấy ngồi cùng mình ăn trưa.","Khi họ ăn trưa, các cô gái trở thành bạn bè.",Kelly không bao giờ nói chuyện với cô ấy nữa.,Kelly rất vui vì đã có một người bạn mới.,2
7,Tommy đã tập luyện chăm chỉ để chạy 5km đầu tiên.,"Trong cuộc đua, ông cảm thấy thất vọng khi quá nhiều người vượt qua ông.","Khi nghe tên anh ta được gọi trong buổi trao giải, anh ta đã bị sốc.",Anh ta không nhận ra họ sẽ làm giải thưởng theo nhóm tuổi.,Anh ấy xấu hổ vì không được công nhận.,Anh ta tự hào khi kết thúc đầu tiên theo độ tuổi nhưng thứ mười tổng thể.,2
8,Laurie sẽ đi vũ hội chính thức đầu tiên của cô ấy tối nay.,Người hẹn hò của cô ấy đã đón cô ấy và tặng cô ấy một bông hồng đẹp.,Laurie mặc một chiếc váy dài lấp lánh.,Họ nhảy múa và vui vẻ với tất cả bạn bè của họ.,Laurie về nhà khóc lóc.,Laurie kết thúc buổi tối bằng cách hôn bạn gái.,2
9,Neil đang khám phá những tuyến đường sắt lịch sử.,"Anh ta đã cưỡi ngựa vào Scranton, Pennsylvania.",Anh ta nhận ra đó là một nhà ga xe lửa cũ đẹp.,Anh ta chụp rất nhiều bức ảnh khi ở đó.,Neil đã xóa hết tất cả ảnh của mình.,Neil đã lưu những bức ảnh trên máy tính của anh ta.,2
10,Bob sợ hãi ngày đầu tiên làm việc tại một quán ăn cá thức ăn nhanh.,Anh ta dự định chờ để mặc bộ đồng phục hải quân lộng lẫy của mình.,Bob bắt đầu làm việc làm bánh mì cá sau khi mặc đồng phục.,"Anh ấy quá bận, anh ấy quên thay quần áo đường phố",Bob rất thích bộ trang phục này đến nỗi anh ấy đã cho bạn bè xem.,Bob đi ra ngoài sau giờ làm việc mặc bộ đồ thủy thủ.,2
11,Một người bạn đến thăm.,Tôi nói với cô ấy rằng con chó của tôi cắn.,Cô ấy không nghe.,Cô ấy cố gắng vuốt ve và chơi với anh ta.,Chó của tôi cắn cô ấy.,Chó của tôi chạy trốn.,1
12,Lester luôn muốn làm nghệ thuật hơn.,"Một ngày nọ, anh quyết định vẽ một bức tranh về một bông hoa.",Anh ta ngồi trước một bông hoa lan xinh đẹp và bắt đầu vẽ.,Hình vẽ của Lester rất đẹp.,Ông treo bức tranh lên tường trong phòng khách.,Anh ấy quyết định không bao giờ vẽ bất cứ thứ gì nữa.,1
13,Pablo thích ăn giun.,Cậu ấy đã đọc một cuốn sách ở trường về cách làm điều này.,Ông ta chiên chúng trong dầu ô liu.,Anh ấy thích làm điều này ít nhất một lần một tháng.,Pablo thích giun và coi chúng là một món ngon.,Pablo không thích ăn giun.,1
14,Kira luôn yêu mến văn hóa Nhật Bản.,Nhiều bộ phim cô ấy thích nhất là tiếng Nhật.,Cô ấy quyết định sẽ đi du lịch đến đó.,"Trong nhiều năm, bà đã tiết kiệm tiền cho chuyến đi.",Cô ấy đã tiêu hết tiền vào giày.,Đó là chuyến đi tuyệt vời nhất trong đời cô ấy.,2
15,Glen có tâm trạng đi dạo.,Anh ấy mặc áo khoác và ra ngoài.,"Khi đi bộ trên vỉa hè, anh ta vấp ngã và bị gãy đầu gối.",Glen đứng dậy và đi khập khiễng về nhà.,Glen chạy bộ marathon tốt nhất của mình.,Glen thề là sẽ không bao giờ đi lại nữa.,2
16,Jesus đã dành cả ngày để đánh bóng đồ đạc.,"Khi đêm đến gần, ông đã xem xét công việc mà ông đã làm.",Mọi thứ trông như mới mẻ và sáng bóng.,Chúa Giê-su mời tất cả bạn bè đến dự tiệc tối hôm đó.,Họ nói đồ đạc của anh ta trông rất đẹp.,Bạn của anh ta đánh bóng đồ đạc của anh ta.,1
17,Gần đây tôi đi bộ đến cửa hàng.,"Khi đi qua lối ra, tôi cảm thấy lạnh, cứng như sắt trên cánh tay.",Tôi đã bị sốc khi bị xe đâm!,Người lái xe rất xin lỗi sau khi thấy tôi bị đâm.,Tôi nói là không sao rồi bỏ đi.,Người lái xe đã rất tức giận với tôi.,1
18,Em gái Gina đã cắt mắt cá chân vì vỡ kính.,Máu chảy xuống chân và vào giày.,"Khi thấy máu, cô ấy chạy về nhà.","Gina chạy theo sau cô ấy, nhưng không thể theo kịp.","Khi họ về nhà, họ đều ăn kem.",Em gái Gina đã đi khám bác sĩ.,2
19,Một cậu bé học lớp ba.,Anh ấy rất thông minh nhưng khó đọc.,"Mỗi khi đọc to, các bạn cùng lớp đều cười nhạo.",Anh ấy bắt đầu tập đọc sách mỗi ngày.,Cậu bé chấp nhận rằng anh ta sẽ không bao giờ cải thiện.,"Vào cuối năm, anh ấy đã làm tốt bài kiểm tra đọc của mình.",2
