premise;question;choice1;choice2;label
ཅ་དངོས་དེ་བུམ་བུམ་ནང་བཀབ་ཡོད། ;cause;ཧ་ཅང་ཉམས་ཞན་རེད། ;ཆུང་ཆུང་ཞིག་རེད། ;0
ངས་སྒམ་པ་ཚང་མ་ཕྱེ་མ་སོང་། ;effect;ངས་སྒོར་ཤོག་གི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ཤོག་བུའི་ ;ངས་མཚོན་ཆ་ཞིག་རྙེད་བྱུང་། ;0
ཁང་པའི་ནང་ཚལ་འབུ་རྣམས་འཛུལ་སོང་། ;effect;ཁང་པའི་ནང་ཚལ་འབུ་རྣམས་ཡལ་སོང་། ;འབུ་སྲིན་རྣམས་ཀྱིས་ཁང་པའི་ཤིང་སྡོང་ཟས་སོ། ;1
འགྲུལ་པ་རྣམས་ས་མཚམས་སུ་སླེབས་པ་རེད། ;effect;བསྐོར་བའི་ལས་བྱེད་པས་ཁོ་ཚོའི་འགྲུལ་བྱང་ལ་ཞིབ་བཤེར་བྱས་འདུག ;བསྐོར་བའི་ལས་བྱེད་པས་ཁོང་ཚོར་ནག་ཚོང་གི་ཉེས་འཛུགས་བྱས་འདུག ;0
ཡིག་ཚང་སྒོ་རྒྱབ་པ་རེད། ;cause;ཉིན་དེ་ནི་ངལ་གསོའི་ཉིན་མོ་ཞིག་རེད། ;དེ་ནི་དབྱར་དུས་རེད། ;0
བུ་མོ་དེའི་ནུས་ཤུགས་རྫོགས་པ་རེད། ;cause;མོ་ནི་རྡ་སར་རྩེད་མོ་རྩེད་ཀྱི་རེད། ;མོ་ཐག་པས་མཆོངས་སོང་། ;1
བུད་མེད་དེ་སྒོའི་ནང་རང་གི་གོ་ས་ཤོར་སོང་། ;cause;མི་གྲངས་མང་བ་ཞིག་གྲལ་རིམ་དུ་ཞུགས་སོ། ;མོ་ནི་གྲལ་རིམ་ནས་ཕྱིར་ཐོན་པ་རེད། ;1
བུ་མོ་དེས་རང་གི་སྣ་ལ་སོག་ས་འདུག ;cause;བུ་ཆུང་དེའི་ཁ་ནས་ཆུ་འབུར་བ་ཐོན། ;ཕྲུ་གུ་གིས་མོའི་ diaper ལ་བཙོག་པ་རེད། ;1
གླུ་གཞས་སྡེ་ཚན་གྱིས་གླུ་གཞས་གྲགས་ཅན་ཞིག་བརྩམས་པ་རེད། ;effect;མི་ཚོགས་ཀྱང་གླུ་གཞས་ལ་མཉམ་ཞུགས་བྱས་པས། ;མི་ཚོགས་ཀྱིས་ཁུ་སིམ་མེར་ཉན་བཞིན་ཡོད། ;0
བུ་མོ་དེས་དགེ་རྒན་ལ་ཐུགས་རྗེ་ཆེ་ཞུ་འདོད་འདུག ;effect;བུ་མོ་དེ་སློབ་གྲྭའི་རྗེས་ལ་ཁྲིམས་ཐག་བཅད་སྐབས་བསྡད་འདུག ;བུ་མོ་དེས་དགེ་རྒན་ལ་ཀུ་ཤུ་ཞིག་འཁྱེར་ཡོང་ངོ་། ;1
གཞོན་ནུ་ཚོ་འཇིགས་པ་འདུག ;cause;ཁོང་ཚོའི་སྒར་སའི་སློབ་སྟོན་པ་ཞིག་གིས་ཁོང་ཚོར་རྣམ་ཤེས་ཀྱི་གཏམ་ཞིག་བཤད་བྱུང་། ;ཁོང་ཚོས་མེ་ལྕེའི་སྟེང་ལ་མེ་རེཤ་མལ་ལོ (marshmallows) ཤ་བསྲེས་པ་རེད། ;0
མི་དེས་མགོ་ལ་རྡུང་འདུག ;effect;ཁོ་ནི་བསམ་བློ་གཏོང་བཞིན་བསྡད་འདུག ;ཁོ་ལ་མགོ་འཐོམས་པ་བྱུང་འདུག ;1
ངས་བྲིས་པའི་ལག་དེབ་དེ་དངུལ་མེད་པས། ;cause;ངའི་དངུལ་ཁང་གི་རྩིས་ཁྲ་སྟོང་འདུག ;ངས་གླ་ཆའི་ཡར་སེང་ཐོབ་ཡོད། ;0
མི་དེའི་གློག་འཕྲིན་ནང་ spam ཡི་གང་འདུག ;effect;ཁོང་གིས་དྲ་རྒྱའི་འཕྲིན་སྣོད་སེལ་བ་རེད། ;ཁོང་གིས་གློག་འཕྲིན་མང་ཚོགས་ཞིག་བཏང་། ;0
གྲུ་པ་དེ་ལ་སོ་སོར་བཞག་ནས་བཞག་ཡོད། ;cause;ཁོང་ནད་ཡམས་དེ་ལ་འཕྲོད་བསྟེན་བྱས་ཡོད། ;ཁོང་ནད་ལས་དྲག་སོང་ཡོད། ;0
བུ་མོ་དེས་ཡིག་རྒྱུན་དེ་དྲན་གསོས་བྱས་ཡོད། ;cause;མོ་རང་གིས་རང་ལ་བཤད་དོ། ;མོ་གིས་དེ་བྲིས་རྒྱུ་བརྗེད་སོང་། ;0
ངས་ཆུ་དེ་ཕོར་པའི་ནང་དུ་བླུགས་པ་ཡིན། ;effect;ཆུ་དེས་ངའི་སྐོམ་པ་སེལ་བར་བྱས་པ་ཡིན། ;སྐར་ཁུང་ཡོངས་སུ་ཁེངས་སོང་། ;1
མི་དེས་རང་གི་གྲོགས་པོ་ཤོད་ཟིན་རྗེས་ཁ་རོག་བསྡད་དོ། ;cause;ཁོང་རང་གི་གྲོགས་པོ་ལ་རོགས་རམ་བྱེད་འདོད་འདུག ;ཁོང་རང་གི་གྲོགས་པོ་དེའི་གསུང་ལ་བསམ་བློ་གཏོང་གི་འདུག ;1
རྐྱེན་ངན་དེ་ནི་ངའི་ཉེས་སྐྱོན་རེད། ;effect;ངས་རང་ཉིད་ཉེས་ཅན་ཞིག་རེད་སྙམ་བྱུང་། ;ངས་ཁྲིམས་གཏུགས་བྱས་པ་ཡིན། ;0
ལྕགས་ཐག་ཁ་ཐོར་སོང་། ;cause;ལྕགས་སྒྲོག་དེ་འཁོར་ལོ་ཞིག་གི་ནང་སྒྲིལ་ཡོད། ;འབྲེལ་ལམ་གྱི་ཐག་པ་གཅིག་ཁ་བྲལ་སོང་། ;1
ཁོང་གཉིས་གྲོས་མོལ་བྱེད་རྒྱུའི་ཐག་བཅད་པ་རེད། ;cause;ཁོང་གཉིས་རྩོད་གླེང་བྱས་ནས་ཡིད་ཐང་ཆད་པ་རེད། ;ཁོང་ཚོས་དཀའ་ངལ་དེའི་སྐོར་གླེང་མོལ་མ་བྱས་པ་ཡིན། ;0
བུད་མེད་དེས་གཞུང་གི་ལས་ཁུངས་སུ་འོས་འདེམས་བྱེད་རྒྱུ་ཐག་བཅད་འདུག ;effect;མོ་ཡིས་གོམ་སྤེལ་ལས་འགུལ་གྱི་འགོ་འཛིན་ཞིག་གླས་པ་ཡིན། ;མོ་ཁྲིམས་ཁང་དུ་དཔང་པོ་བྱས། ;0
མི་དེས་རང་གི་འགྲུལ་བཞུད་སྐབས་གནམ་གཤིས་གྲང་མོ་ཡོང་ངེས་རེད་བསམས་འདུག ;effect;ཁོང་རང་གི་ཁལ་ཁོག་ནང་གོས་དྲོ་པོ་ཁག་བཅིངས་ཡོད། ;ཁོང་ཉིད་ཁུར་ཁུག་ཆེན་པོ་ཞིག་འཁྱེར་ནས་ཕེབས་པ་རེད། ;0
སློབ་ཕྲུག་གིས་དྲི་བ་དེའི་ལན་ཤེས་པ་རེད། ;effect;ཁོང་གིས་ཕྱག་ཡར་བཏེགས་པ་རེད། ;ཁོ་ལ་གླེན་པའི་སེམས་སྐྱོ་བྱུང་། ;0
