question;answer_number
জানেৎকী দাকশিংনা নোংমদা মৈ ১৬ থী। মহাক্না নুমিদাং খুদিংগী অয়ুক্কী চিঞ্জাক ওইনা অহুমখক থকই অমসুং মহাক্কী মরুপশিংগা লোয়ননা নুমিৎ খুদিংগী মরিখক মফিন শেৎলি। মহাক্না লেমহৌরিবা অদু ফার্মরগী কৈথেলদা নুমিৎ খুদিংগী শেংবা দাতকী মরুম অমমমদা দোল্লর অনিদা য়োল্লি। ফার্মরশিংগী মার্কেততা মহাক্না নোংমদা দোল্লর কয়া ফংলি? ;18
কোব অমদা ব্লু ফাইবরগী বোল্ত অনি অমসুং হৱাই ফাইবরগী শরুক অনি চঙই। অপুনবা বোল্ত কয়ামুক লৌগনি? ;3
জোশনা য়ুম অমা হন্দোক্নবা হোৎনখি। মহাক্না য়ুম অমা দোল্লর ৮০,০০০দা লৈ অমসুং মদুগী মতুংদা দোল্লর ৫০,০০০দি শেমদোক-শাদোকপদা থাদৈ। মসিনা য়ুম অদুগী ভেল্যু অসি চাদা ১৫০ হেনগৎহনখি। মহাক্না কনাগুম্বদগী কান্নবা কয়া ফংখি? ;70000
জেমসনা চয়োল অমদা অহুম্লক স্প্রিন্ট অহুম্লক চত্থনবা ৱারেপ লৌখি। মহাক্না স্প্রিন্ত অমমমদা মিতর 60 লান্থোকই। মহাক্না চয়োল অমদা অপুনবা মিতর কয়ামরোম চৎলি? ;540
নোংমদা, ৱেনদিনা মহাক্কী মচিন মনাউ খুদিংমক্তা মখোয়বু হকচাং ফনা লৈনবা মতেং পাংনবা, মহি, মলৱর্ম অমসুং মনা-মশিং য়াউবা মচিন মনাউগী মচিন কপ অহুম পীজৈ। মহাক্না মচিন মনাশিং অদু তোঙানবা চিঞ্জাক অহুমদা পী। অয়ুক্কী মতমদা, মহাক্না মহাক্কী মচা কাংলুপ অদুদা চেং-চাং 15 পীজৈ। নুংথিলগী মতমদা, মহাক্না মহাক্কী মচিনশিং অদুদা অতোপ্পা কপ ২৫গী চিঞ্জাক পী। করিগুম্বা ৱেনদিগী কাংবু অদু মচা ২০ ওইরবদি নুমিৎ অদুগী অরোইবা চিঞ্জাক অদুদা মহাক্না মহাক্কী মচিনবু চানবা কপ কয়ামুক পীগদগে? ;20
কাইলরনা মহাক্কী অনৌবা য়ুমগীদমক গ্লাসশিং লৌনবা দুকানদা চৎখি। গ্লাস অমমমগী মমল অসি দোল্লর 5 ওই, অদুবু অনিশুবা গ্লাস খুদিংগী মমল অসি মমল অদুগী 60% খক্তমক ওই। কাইলরনা গ্লাস ১৬ লৈনবা পাম্মি। মহাক্না মখোয়গীদমক্তা করম্বা শেনফম পীগদগে? ;64
তুলোজতা চার্লস্তোনগী চাংদগী হন্দক হেন্না শা লৈ। চারলেস্তোন্দা সিএতলদগী মশীংনা শরুক মরি হেন্না য়াম্বা উনশিং লৈ। করিগুম্বা সিয়াটলদা শিপ 20 লৈরবদি, তোলুজ, চার্লস্তন, অমসুং সিয়াটলনা পুন্না শিপ কয়ামুক লৈগনি? ;260
কার্লানা জিব ২০০গী ফাইল অমা দাউনলোদ তৌরি। মহৌশানা মহাক্না 2 GB/মিনিত দাউনলোদ তৌবা ঙম্মী, অদুবু দাউনলোদ তৌবগী 40%গী মনুংদা, ৱিন্দোজনা অপদেৎ ইনস্তোল তৌনবা রীস্তার্ট অমা তৌহল্লি, মসিদা মিনিট 20 চঙই। মদুদগী কার্লানা দাউনলোদ তৌবা অসি হৌবদগী অমুক হৌবা তাই। ফাইলদু দাউনলোদ তৌবদা করম্বা চার্জ লৌগনি? ;160
জোননা পুং 60গী অয়াবা য়াংনা পুং 3 চৎখি অমসুং মতুংদা মহাক্না য়ুমদা য়াম্না মরু ওইবা করিগুম্বা অমা হন্দোক্লম্লে হায়বা খঙলবা মতুংদা হল্লকখি। মহাক্না পুং ৪গী মনুংদা য়ুমদা হনবা হোৎনখি অদুবু অহানবা পুং ২দি ত্রাফিক্কী অৱাবা লৈবদগী চৎখি। মহাক্না মথংগী পুং তংখায়খায় অদু মাইল অমদা 30গী খোঙজেলনা চৎপদা কাইথোকই, অদুগা পুং 4গী লেমহৌরিবা মতম অদু মাইল অমদা 80গী খোঙজেলনা চৎপা ঙমদ্রি। পুং ৪গী মতম অসিগী অরোইবদা মহাক্না ময়ুমদগী করম্বা অরাপ্পা ফাওবা লৈবগে? ;45
ইলাইজাগী অহানবা চয়োল অমদা মহাক্না থবক তৌরিবা পুং 40গী ওইনা অয়ুক খুদিংগী পীরিবা মমল অসি $10নি। মহাক্না ওভরতাইমগীদমক মহাক্কী চাং নাইবা মতমগী শেনফমদগী শরুক 1.2 হেন্না ফংই। করিগুম্বা ইলিজা অসি চয়োল অসিদা পুং 45 থবক তৌরবদি, মহাক্কী চয়োল অসিগী শেলফম অসি করম্না ওইগনি? ;460
