question;answer;answer_ab
"Una moneda es cabeza arriba. Whitney lanza la moneda. Erika no lanza la moneda. TJ no lanza la moneda. Benito lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Lucky no lanza la moneda. Mireya lanza la moneda. JJ lanza la moneda. KC lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Caleb lanza la moneda. Chase lanza la moneda. Eleazar lanza la moneda. Chanel no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Silvia lanza la moneda. Carolina no lanza la moneda. Stan lanza la moneda. Chuck lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Breanna lanza la moneda. Trey no lanza la moneda. Omar lanza la moneda. Patrice no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Lilian lanza la moneda. Ian lanza la moneda. Bryce lanza la moneda. Aracely no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Walter no lanza la moneda. Mikayla no lanza la moneda. Larry no lanza la moneda. Ryan no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Angelina lanza la moneda. Layla lanza la moneda. Jenny lanza la moneda. Zane no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Lizzy lanza la moneda. Juany no lanza la moneda. Aisha lanza la moneda. Brenda no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Elise lanza la moneda. Lupe lanza la moneda. Renee no lanza la moneda. Noemi no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Jesse lanza la moneda. Roderick lanza la moneda. Travis no lanza la moneda. Rita no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Cinthia no lanza la moneda. Lloyd no lanza la moneda. Jacqueline lanza la moneda. JC lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Sterling lanza la moneda. Jenifer lanza la moneda. Patsy lanza la moneda. Denise lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Beatriz lanza la moneda. Gillian no lanza la moneda. Coco no lanza la moneda. Vivian no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. El príncipe lanza la moneda. Rene lanza la moneda. Vishal lanza la moneda. Patrick no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Jae no lanza la moneda. Dennis no lanza la moneda. Cris lanza la moneda. Bernadette lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Hank no lanza la moneda. Janine no lanza la moneda. Frankie lanza la moneda. Isa lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Max no lanza la moneda. Mikey no lanza la moneda. Cynthia no lanza la moneda. Holly lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Christy lanza la moneda. Rey no lanza la moneda. Michelle lanza la moneda. Dolly no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Annie no lanza la moneda. Toño lanza la moneda. Sharon lanza la moneda. Delores lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Jessy no lanza la moneda. Libby no lanza la moneda. Danielle lanza la moneda. Rojo lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Jorge no lanza la moneda. Natalia no lanza la moneda. Bryant lanza la moneda. Kiran lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Yan no lanza la moneda. Eunice no lanza la moneda. José lanza la moneda. Hugh no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Melody no lanza la moneda. Ramiro no lanza la moneda. Humberto no lanza la moneda. Jacob no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Domingo no lanza la moneda. Briana lanza la moneda. Michael lanza la moneda. Joan no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Kristopher no lanza la moneda. Deb lanza la moneda. Jake lanza la moneda. Tammy lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Morgan lanza la moneda. Perla no lanza la moneda. Joao no lanza la moneda. Marta no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Penny lanza la moneda. Harry no lanza la moneda. Jessica no lanza la moneda. Horacio lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Billie no lanza la moneda. Paloma no lanza la moneda. Tanner no lanza la moneda. Raúl no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Rena no lanza la moneda. Devon no lanza la moneda. Rosalinda no lanza la moneda. Paulina no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Axel lanza la moneda. Osvaldo lanza la moneda. Mildred no lanza la moneda. Sylvia lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Emiliano lanza la moneda. Jasmin lanza la moneda. Wade lanza la moneda. Vilma no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Lino no lanza la moneda. Mariel no lanza la moneda. Aditya no lanza la moneda. Elisabeth lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Jacky lanza la moneda. Socorro lanza la moneda. Mark lanza la moneda. Wanda no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Mauricio lanza la moneda. Lee no lanza la moneda. Madi no lanza la moneda. Lizzie lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Ruben lanza la moneda. Bernardo lanza la moneda. Ariel no lanza la moneda. Shelley lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Phillip no lanza la moneda. Ajay lanza la moneda. Janie lanza la moneda. Augusto lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Ari lanza la moneda. Jasmine no lanza la moneda. Elliot lanza la moneda. Kendrick lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Margarita lanza la moneda. Anabel lanza la moneda. Shaun lanza la moneda. Celina lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Geo no lanza la moneda. Kody no lanza la moneda. Isaias lanza la moneda. Giovanni lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Kennedy lanza la moneda. Ginny no lanza la moneda. Iliana lanza la moneda. Sky no lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Billy lanza la moneda. Kassandra lanza la moneda. La alegría no lanza la moneda. Abe lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
"Una moneda es cabeza arriba. Nubia lanza la moneda. Sarah no lanza la moneda. Jalen no lanza la moneda. Kris lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Ale no lanza la moneda. Gaspar lanza la moneda. Sonny no lanza la moneda. Simon lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";Sí, por supuesto. ;A
"Una moneda es cabeza arriba. Skylar lanza la moneda. Chrissy no lanza la moneda. Misty lanza la moneda. Kike lanza la moneda. ¿La moneda todavía está cara arriba? Note que ""voltear"" aquí quiere decir ""voltear"". ";No, no. ;B
