premise;question;choice1;choice2;label
Նյութը փաթեթավորված էր փուչիկներով: ;cause;Այն փխրուն էր: ;Այն փոքր էր: ;0
Ես դատարկեցի գրպանս: ;effect;Ես վերցրեցի տոմսի կոտորակը: ;Ես գտա զենք: ;0
Տունը թերմիտների կողմից գրավվեց: ;effect;Տունից թերմիտները անհետացել են: ;Տերմիտները կերել են տան փայտը: ;1
Ճանապարհորդները հասան սահմանին: ;effect;Պարեկային գործակալը ստուգեց նրանց անձնագրերը: ;Պարեկային գործակալը նրանց մեղադրեց մաքսանենգության մեջ: ;0
Գրասենյակը փակ էր: ;cause;Այն տոն էր: ;Ամառ էր: ;0
Աղջկա էներգիան սպառվեց: ;cause;Նա շախմատ էր խաղում։ ;Նա ցատկեց պարանով: ;1
Կինը կորցրեց իր տեղը հերթում: ;cause;Ավելի շատ մարդիկ են մտել շարքը: ;Նա դուրս եկավ շարքից: ;1
Աղջիկը քիթը խեղդեց: ;cause;Երեխան սրվել է իր սրբիչի վրա: ;Երեխան կեղտոտեց նրա թաշկինակը: ;1
Խումբը նվագեց իրենց հիթը: ;effect;Հանդիսատեսը ծափահարեց երաժշտության հետ միասին։ ;Հանդիսատեսը քաղաքավարիորեն լռությամբ լսում էր։ ;0
Աղջիկը ցանկանում էր շնորհակալություն հայտնել մաթեմատիկայի ուսուցչին: ;effect;Աղջիկը մնաց դպրոցից հետո, որ հետապնդում ունենա: ;Աղջիկը ուսուցչին խնձոր է բերել։ ;1
Երիտասարդ ճամբարականները վախեցան: ;cause;Նրանց ճամբարի խորհրդատուն պատմել է նրանց մի հեքիաթ: ;Նրանք ճամբարային կրակի վրա մաշմալլոներ էին տապակել: ;0
Տղամարդը գլխին հարվածել է: ;effect;Նա մտքերի մեջ էր ընկել։ ;Նա գլխուղեղի ցնցում է ստացել: ;1
Իմ գրած շեկը չվճարվեց։ ;cause;Իմ բանկային հաշիվը դատարկ էր: ;Ես աշխատավարձի բարձրացում եմ ստացել։ ;0
Տղամարդու էլփոստի արկղը լի էր սպամով: ;effect;Նա ջնջեց սպամը: ;Նա զանգվածային էլեկտրոնային նամակ է ուղարկել: ;0
Նավաստանը կարանտին էր: ;cause;Նա ենթարկվել է հիվանդության: ;Նա ապաքինվեց հիվանդությունից։ ;0
Աղջիկը հիշում էր ծածկագիրը: ;cause;Նա ինքն իրեն էր կարդում։ ;Նա մոռացավ գրել այն: ;0
Ես ջուրը լցրեցի բաժակի մեջ։ ;effect;Ջուրը հանգեցնում էր իմ ծարավը։ ;Գավաթը լցվեց: ;1
Տղամարդը լռեց, երբ ընկերն ավարտեց խոսքը: ;cause;Նա ցանկանում էր աջակցել իր ընկերոջը: ;Նա մտածում էր իր ընկերոջ խոսքերի մասին: ;1
Անհաջողությունը իմ մեղքն էր: ;effect;Ես ինձ մեղավոր էի զգում։ ;Ես մեղադրանք ներկայացրեցի: ;0
Շղթան փլվեց: ;cause;Շղթան փաթաթված էր անվադողերի շուրջ: ;Շղթայում կոտրված մի կապ կար: ;1
Կողմերը որոշեցին փոխզիջում անել։ ;cause;Նրանք հոգնել էին վիճելուց։ ;Նրանք խուսափեցին քննարկել խնդիրը։ ;0
