,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Tornei-me fã de ""Lei e Ordem"" em 2011.",Estava a recuperar de um derrame.,"Quando cheguei a casa, tentei ver todos os episódios.",Foi difícil tentar ver 20 anos de um programa.,"Acho que ""Lei e Ordem"" é uma das piores séries de sempre.","Eventualmente, vi-os todos.",2
1,Todos amavam o Bob porque ele interpretava um personagem popular no filme.,O Bob odiava porque não era nada parecido com esse personagem.,O Jim pediu ao Bob para dizer a frase-chave da sua personagem.,Foi demais para o Bob e ele explodiu de raiva.,Bob disse ao homem para o deixar em paz.,Bob pediu chá ao homem.,1
2,A Lita queria ver o seu programa favorito na televisão.,Os filhos insistiram para que ela se sentasse e assistisse com eles.,A Lita disse-lhes que tinha tarefas para fazer.,Os filhos dela arrastaram o cesto da roupa para a sala.,A Lita pediu uma pizza com pepperoni para o almoço.,A Lita dobrou a roupa lavada enquanto assistia televisão.,2
3,A Liv saltou quando foi assustada por um estrondo.,Ela percebeu que era a lâmpada da cozinha a queimar.,Ela pegou um banquinho e pisou nele.,Ele balançou debaixo dela e ela quase caiu.,A Liv decidiu mudar uma lâmpada na casa de banho.,A Liv mudou a lâmpada.,2
4,A mãe disse aos filhos que seria hora de almoço em quinze minutos.,Mas depois recebeu uma chamada importante.,"Enquanto ela falava, o cão arrastava lama por toda a cozinha.","Os miúdos começaram a chatear a mãe, que ainda estava ao telefone.",A mãe sentiu-se bastante frustrada.,O comportamento das crianças acalmou a mãe.,1
5,O Hector sempre comprou café numa loja local antes de ir trabalhar.,Ele percebe que seu hábito de comprar café é muito caro.,"Um dia, o Hector decide fazer café em casa.",Ele se orgulha de que o café que ele faz em casa é tão bom.,O Hector continuou a preparar o seu próprio café e a poupar dinheiro.,O Hector começou a comprar mais café no Starbucks.,1
6,A Kelly descobriu que havia uma rapariga nova na escola.,"Quando ela entrou na escola, foi à procura dela.","Quando a conheceu, ela a convidou para almoçar com ela.","Quando almoçaram, as meninas se tornaram amigas.",A Kelly nunca mais falou com ela.,Kelly estava feliz por ter feito um novo amigo.,2
7,O Tommy treinou muito para correr o seu primeiro 5K.,"Durante a corrida, sentiu-se frustrado quando tantas pessoas o ultrapassaram.",Quando ouviu o seu nome durante os prémios ficou chocado.,Ele não sabia que havia prémios por idade.,Ele tinha vergonha de não ter nenhum reconhecimento.,"Ele ficou orgulhoso de terminar em primeiro lugar por idade, mas décimo em geral.",2
8,A Laurie vai ao seu primeiro baile formal esta noite.,O seu par foi buscá-la e deu-lhe uma linda rosa.,A Laurie usava um vestido longo e brilhante.,Eles dançaram e se divertiram com todos os seus amigos.,Laurie foi para casa a chorar.,Laurie terminou a noite beijando o seu par.,2
9,O Neil estava a explorar ferrovias históricas.,"Ele entrou em Scranton, Pensilvânia.",Percebeu que era uma bela estação ferroviária.,Ele tirou muitas fotos enquanto estava lá.,O Neil apagou todas as fotos dele.,O Neil salvou as fotos no computador.,2
