,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Побољшала сам ""Закон и ред"" 2011.",Опорављао сам се од можданог удара.,"Када сам дошао кући, покушао сам да гледам сваку епизоду.",Било је тешко покушати да се препуни гледањем 20 година емисије.,Мислим да је Закон и Ред једна од најгорих серија икада направљених.,На крају сам их све гледао.,2
1,Сви су волели Боба јер је играо популарног лика у филму.,Боб је то мрзео јер није био баш баш сличан тој особи.,Џим је замолио Боба да изрече главне реченице његовог карактера.,Било је превише за Боба и он је експлодирао од бесa.,Боб је рекао човеку да га остави на миру.,Боб је замолио човека за чај.,1
2,Лита је хтела да гледа своју омиљену емисију на телевизији.,Деца су јој инсистирала да седне и гледа са њима.,Лита им је рекла да има послове.,Деца су јој кошику за вештачке одвела у дневну собу.,Лита је за ручак наручила пицу са пеперонима.,Лита је преклопала вештачке док је гледала телевизију.,2
3,Лива је скочила када је била изненађена гласним пуцањем.,Схватила је да је то била сијалица у кухињи која је изгорела.,Извукла је столу и ступила на њу.,Он се тресео испод ње и она је скоро пала.,Лив је одлучила да замени сијалицу у купатилу.,Лив је онда променила сијалицу.,2
4,Мајка је рекла деци да ће за петнаест минута бити време за ручак.,Али је онда добила важан телефонски позив.,"Док је она говорила, пас је по кухињи пуцао блатама.","Деца су почела да досађују својој мајци, која је још увек била на телефону.",Мајка је била прилично фрустрирана.,Понашање деце је смирило мајку.,1
5,Хектор је увек покупио кафу у локалној продавници пре посла.,Он схвата да је његова навика куповине кафе веома скупа.,Једног дана Хектор одлучује да дома припреми кафу.,Поносан је што је кафа коју је дома направио тако добра.,Хектор је наставио да прави своју кафу и штедио новац.,Хектор је почео да купује више кафе у Старбаксу.,1
6,Кели је сазнала да је у школи нова девојка.,"Када је ушла у школу, отишла је да је тражи.","Када је упознала, позвала је да седне с њом на ручак.","Када су ручале, девојке су постале пријатељице.",Кели никада више није разговарала с њом.,Кели је била срећна што је стекла новог пријатеља.,2
7,Томи је тешко тренирао да би трчао првих 5 км.,Током трке осећао се фрустрирано када је толико људи пролазило поред њега.,Када је чуо како се његово име зове на додељивању награда био је шокиран.,Није схватио да ће бити награде по старосној групи.,Срамота га је била што није добио никакво признање.,"Био је поносан што је први по старости, али десети у укупности.",2
8,Лори иде на свој први официјски плес вечерас.,Њен састанак је покупио и дао јој прелепу ружу.,Лори је носила дугу сјајну хаљину.,Они су плесали и забављали се са свим својим пријатељима.,Лори је плакала док је одлазила кући.,Лори је целујући свог састанака завршила ноћ.,2
9,Нил је истраживао историјске железнице.,"Ушао је у Скрантон, Пенсилванија.",Схватио је да је то предивна стара железничка депо.,Он је направио пуно фотографија док је био тамо.,Нил је избрисао све своје фотографије.,Нил је сачувао фотографије на свом рачунару.,2
10,Боб се плашио свог првог дана рада у ресторану брзе хране.,Планирао је да сачека да обуче своју сјајну морску униформу.,Боб је почео да ради на рибљим бургерима након што је обучио униформу.,"Био је толико заузет, да је заборавио да се преоблече у уличну одећу.",Боб је толико волео одећу да је је показао својим пријатељима.,Боб је изашао после посла у морнаричком оделу.,2
11,Пријатељ је дошао у посету.,Рекао сам јој да мој пас куса.,Није слушала.,покушала га је гајити и играти се с њим.,Мој пас је угризао.,Мој пас је побегао.,1
12,Лестер је увек желео да буде уметнички.,Одлучује да једног дана покуша да нацрта слику цвета.,Седе испред прелепе орхидеје и почиње да црта.,Лестерова слика је веома добра.,Он је овесио слику на зид у својој дневници.,Одлучује да више никада ништа не нацрта.,1
